video_id,source_url,direct_url,media_ok,duration_sec,category,knowledge_point,question,choice_A,choice_B,choice_C,choice_D,answer,dynamic_evidence,static_insufficient_reason,video_available,dynamic_process_visible,knowledge_point_supported,answer_only_leakage,single_frame_sufficient,sparse_frames_sufficient,title_or_subtitle_leakage,review_decision,reviewer_notes
dynaknow_000019,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,https://upload.wikimedia.org/wikipedia/commons/9/9b/Melting_ice.theora.ogv,,29.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A solid can absorb heat and melt into a liquid.,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,A,0.0-29.0: The phase change direction is visible only from the sequence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000020,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,https://upload.wikimedia.org/wikipedia/commons/0/0e/Ice_cubes_melting_in_a_glass.ogv,,18.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A liquid can evaporate when heated or exposed to airflow.,A solid can absorb heat and melt into a liquid.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,B,0.0-18.0: Solid ice visibly decreases and liquid water increases over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000021,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,https://upload.wikimedia.org/wikipedia/commons/9/9d/103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,,12.0,chemistry_material_change,Combustion requires fuel and oxygen.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some mixtures produce gas during chemical reactions.,A liquid can evaporate when heated or exposed to airflow.,Combustion requires fuel and oxygen.,Warm air rises and can drive convection.,C,0.0-12.0: Iron wool ignites and burns after being placed in oxygen over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000022,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fe/Oxalis_Triangularis_Photonasty_Timelapse.ogv,,5.7,biology_life_processes,Some organisms move toward or away from light.,Which knowledge point is best demonstrated by the dynamic process in the video?,Plant shoots can grow toward a light source.,Roots can grow downward in response to gravity.,Animal movement often uses repeated joint cycles.,Some organisms move toward or away from light.,D,0.0-5.7: Leaves open or close over a time lapse in response to light level change.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000023,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,https://upload.wikimedia.org/wikipedia/commons/a/a7/Azuki_Bean_phototropism.ogv,,34.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Plant shoots can grow toward a light source.,Roots can grow downward in response to gravity.,Leaves can lose water vapor through stomata.,Water can move through narrow plant structures by capillary action.,A,0.0-34.0: The shoot bends directionally over time rather than appearing only curved in one frame.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000024,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,https://upload.wikimedia.org/wikipedia/commons/a/af/MagneticPendulum_VariableFriction.ogv,,6.4,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A pendulum exchanges gravitational potential energy and kinetic energy.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,B,0.0-6.4: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000025,https://commons.wikimedia.org/wiki/File:Dynamikum_Gekoppelte_Pendel.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fa/Dynamikum_Gekoppelte_Pendel.ogv,,7.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,A pendulum exchanges gravitational potential energy and kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,C,0.0-7.8: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000026,https://commons.wikimedia.org/wiki/File:Double_pendulum_%26_spring1.ogv,https://upload.wikimedia.org/wikipedia/commons/7/75/Double_pendulum_&_spring1.ogv,,41.5,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A pendulum exchanges gravitational potential energy and kinetic energy.,D,0.0-41.5: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000027,https://commons.wikimedia.org/wiki/File:20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,https://upload.wikimedia.org/wikipedia/commons/5/5f/20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,,50.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,A,0.0-50.8: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000028,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,https://upload.wikimedia.org/wikipedia/commons/8/82/Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,,25.9,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Magnetic fields can align or attract ferromagnetic materials.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,B,0.0-25.9: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000029,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,https://upload.wikimedia.org/wikipedia/commons/b/b8/Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,,13.3,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,Magnetic fields can align or attract ferromagnetic materials.,A spinning object can maintain angular momentum.,C,0.0-13.3: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000030,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s4.ogv,https://upload.wikimedia.org/wikipedia/commons/7/7b/Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s4.ogv,,30.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,Magnetic fields can align or attract ferromagnetic materials.,D,0.0-30.0: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000031,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/e/ef/Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,,18.5,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Magnetic fields can align or attract ferromagnetic materials.,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,A,0.0-18.5: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000032,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s2.ogv,https://upload.wikimedia.org/wikipedia/commons/e/e3/Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s2.ogv,,14.6,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Magnetic fields can align or attract ferromagnetic materials.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,B,0.0-14.6: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000033,https://commons.wikimedia.org/wiki/File:54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,https://upload.wikimedia.org/wikipedia/commons/3/39/54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,,34.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,Magnetic fields can align or attract ferromagnetic materials.,A spinning object can maintain angular momentum.,C,0.0-34.0: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000034,https://commons.wikimedia.org/wiki/File:Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,https://upload.wikimedia.org/wikipedia/commons/0/00/Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,,16.6,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,Seed germination involves root and shoot emergence.,D,0.0-16.6: Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000035,https://commons.wikimedia.org/wiki/File:Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,https://upload.wikimedia.org/wikipedia/commons/5/55/Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,,24.0,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Seed germination involves root and shoot emergence.,Roots can grow downward in response to gravity.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,A,0.0-24.0: Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000036,https://commons.wikimedia.org/wiki/File:365_days_tree.ogv,https://upload.wikimedia.org/wikipedia/commons/4/49/365_days_tree.ogv,,18.2,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Seed germination involves root and shoot emergence.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,B,0.0-18.2: Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000037,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse.ogv,https://upload.wikimedia.org/wikipedia/commons/4/41/Sunflower_Flower_Opening_Time_Lapse.ogv,,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Leaves can lose water vapor through stomata.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,C,0.0-35.0: Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000038,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,https://upload.wikimedia.org/wikipedia/commons/d/df/Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Leaves can lose water vapor through stomata.,Water can move through narrow plant structures by capillary action.,Plant shoots can grow toward a light source.,D,0.0-35.0: Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000039,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,https://upload.wikimedia.org/wikipedia/commons/7/72/Corona.Candle.webm,,21.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,Vibration can transfer energy through a medium.,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-21.0: The flame motion responds to airflow from singing over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
dynaknow_000040,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,https://upload.wikimedia.org/wikipedia/commons/8/86/Kerzenflamme_im_plattenkondensator.ogv,,35.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Which knowledge point is best demonstrated by the dynamic process in the video?,Capillary action can pull liquid through narrow gaps.,Pressure differences can move fluids.,Warm air rises and can drive convection.,Buoyancy depends on displaced fluid and object density.,B,0.0-35.0: The candle flame deforms dynamically when the electric field changes.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,
