id,candidate_knowledge_point,local_media,contact_sheet,review_status,recommended_action,suggested_start_sec,suggested_end_sec,review_notes
vdcr_archive_b02_000010_seg_030000_060000,Briggs-Rauscher Reaction,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b02_000010_seg_030000_060000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,30,"Trimmed segment removes setup reagent labels; visible liquid repeatedly changes between blue and yellow states, showing oscillating reaction dynamics."
vdcr_archive_b04_000014_seg_003000_145000,Double Pendulum Chaos,media/vdcr_segments_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b04_000014_seg_003000_145000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,142,Trimmed segment removes title card; double-pendulum apparatus exhibits nonperiodic trajectory changes without answer text.
vdcr_archive_only_000005,Rayleigh-Taylor Instability,media/vdcr_raw_pilot_v1/vdcr_archive_only_000005.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_only_000005/contact_sheet.jpg,review,duplicate_visualization_with_overlay,0,15,"Relevant Rayleigh-Taylor visualization, but similar to existing candidates and includes colorbar/time overlays; defer unless more physics coverage is needed."
vdcr_archive_only_000002,Rayleigh-Taylor Instability,media/vdcr_raw_pilot_v1/vdcr_archive_only_000002.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_only_000002/contact_sheet.jpg,review,duplicate_visualization_with_overlay,0,16,"Relevant Rayleigh-Taylor visualization, but similar to existing candidates and includes colorbar/time overlays; defer unless more physics coverage is needed."
vdcr_archive_b02_000045,Murmuration,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000045.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000045/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,100,Clean starling flock footage with no text leakage; the dynamic collective flocking pattern is visible over time.
vdcr_archive_b05_000008,Diffusion Flame,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000008.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b05_000008/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,10,Clean laminar jet diffusion flame footage; flame forms and stabilizes without answer text.
vdcr_archive_b05_000007,Diffusion Flame,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000007.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b05_000007/contact_sheet.jpg,review,text_overlay_midclip,0,21,Relevant diffusion flame footage but includes an explanatory text card; lower priority than the cleaner diffusion flame clip.
vdcr_archive_b05_000047,Eskimo Roll / Kayak Roll,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000047.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b05_000047/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,50,Clean kayak roll sequence with clear capsize and recovery dynamics; use with controlled sampling because it is a specialized action concept.
vdcr_archive_only_000004,Rayleigh-Taylor Instability,media/vdcr_raw_pilot_v1/vdcr_archive_only_000004.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_only_000004/contact_sheet.jpg,review,duplicate_visualization_answer_text,0,17,"Relevant instability visualization, but bottom labels appear to reveal Rayleigh-Taylor-related answer text and the clip duplicates existing visualization candidates; defer for final samples."
vdcr_archive_b08_000009,Coronal Mass Ejection,media/vdcr_raw_pilot_v1/vdcr_archive_b08_000009.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b08_000009/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,5.2,Clean coronagraph time series with expanding coronal outflow; timestamp overlay is present but does not reveal the concept name.
vdcr_archive_b08_000002,Magnetic Reconnection,media/vdcr_raw_pilot_v1/vdcr_archive_b08_000002.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b08_000002/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,15.6,Focused scientific animation of field-line topology changing and energy release; no answer text is visible in the frames.
vdcr_archive_b08_000003,Magnetic Reconnection,media/vdcr_raw_pilot_v1/vdcr_archive_b08_000003.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b08_000003/contact_sheet.jpg,review,composite_duplicate_lower_priority,0,30.9,Composite CME-to-magnetosphere animation is relevant but less focused than the cleaner magnetic reconnection clip; defer to avoid duplicate and mixed-target samples.
vdcr_archive_b08_000006,Solar Prominence Eruption,media/vdcr_raw_pilot_v1/vdcr_archive_b08_000006.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b08_000006/contact_sheet.jpg,revise,trim_black_frames_and_far_shots,25,50,"Solar prominence eruption is visible without answer text, but the full clip contains long black/far-shot intervals; trim to the close solar-limb eruption sequence before passing."
vdcr_archive_b08_000006_seg_025000_050000,Solar Prominence Eruption,media/vdcr_segments_pilot_v1/vdcr_archive_b08_000006_seg_025000_050000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b08_000006_seg_025000_050000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,25,Trimmed segment removes black/far-shot intervals; close solar-limb footage shows prominence eruption dynamics without answer text.
vdcr_archive_b07_000003,Wall Cloud Rotation,media/vdcr_raw_pilot_v1/vdcr_archive_b07_000003.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b07_000003/contact_sheet.jpg,review,manual_video_motion_check,0,30,"Clean supercell/wall-cloud footage without answer text, but contact sheet alone does not prove visible rotation; needs real-time playback or optical-flow review before pass."
vdcr_archive_b03_000050,Pyroclastic Density Current,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000050.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000050/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched Herculaneum/Roman artifact imagery, not a pyroclastic density current dynamic process."
vdcr_archive_b03_000051,Pyroclastic Density Current,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000051.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000051/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched Herculaneum paintings/artifact imagery, not a pyroclastic density current dynamic process."
vdcr_archive_b03_000052,Pyroclastic Density Current,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000052.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000052/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched Herculaneum decorative/artifact imagery, not a pyroclastic density current dynamic process."
vdcr_archive_b03_000053,Pyroclastic Density Current,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000053.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000053/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched Herculaneum bronze sculpture imagery, not a pyroclastic density current dynamic process."
vdcr_archive_b03_000054,Slab Avalanche Release,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000054.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000054/contact_sheet.jpg,revise,trim_title_and_credits,300,390,"Historical avalanche dynamics film contains real snow-avalanche motion, but full clip has title and credits; use a middle avalanche-motion segment without text."
vdcr_archive_b07_000006,Rip Current Channel Formation,media/vdcr_raw_pilot_v1/vdcr_archive_b07_000006.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b07_000006/contact_sheet.jpg,reject,interview_not_process_video,0,0,Lifeguard interview/intro footage rather than a visible rip-current channel formation process.
vdcr_archive_b08_000018,Fault Rupture Propagation,media/vdcr_raw_pilot_v1/vdcr_archive_b08_000018.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b08_000018/contact_sheet.jpg,reject,text_and_diagram_leakage,0,0,"Educational animation has labels, arrows, plots, and player controls that reveal the fault/slip-pulse concept; not a clean direct-answer sample."
vdcr_archive_b07_000014,Glacier Surge,media/vdcr_raw_pilot_v1/vdcr_archive_b07_000014.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b07_000014/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched a crime/news mugshot clip, not glacier surge dynamics."
vdcr_archive_b07_000022,Spot Fire Propagation,media/vdcr_raw_pilot_v1/vdcr_archive_b07_000022.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b07_000022/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched a coronavirus/self-recorded clip, not spot-fire propagation."
vdcr_archive_b03_000054_seg_300000_390000,Slab Avalanche Release,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,90,Trimmed segment removes title and credits; footage shows snow slab/avalanche release and downslope propagation without answer text.
vdcr_archive_b02_000009,Belousov-Zhabotinsky Reaction,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000009.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000009/contact_sheet.jpg,review,duplicate_lower_priority_with_speed_overlays,0,60,"Relevant BZ reaction footage with visible reaction-diffusion ring patterns, but it includes bottle labels and speed overlays; lower priority than the cleaner reactions-only clip."
vdcr_archive_b02_000007,Belousov-Zhabotinsky Reaction,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000007.webm,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000007/contact_sheet.jpg,revise,trim_to_clean_pattern_sequence,0,90,Clean BZ reaction dish footage with ring/spiral chemical wave dynamics and no visible answer text; trim a shorter segment for benchmark use.
vdcr_archive_b02_000006,Iodine Clock Reaction,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000006.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000006/contact_sheet.jpg,review,text_and_formula_overlay,0,300,"Relevant iodine-clock setup and color-change chemistry, but dense reagent labels, instructional captions, and a reaction equation overlay make it risky for direct-answer release."
vdcr_archive_b04_000039,Crystal Nucleation,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000039.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b04_000039/contact_sheet.jpg,reject,lecture_explainer_not_clean_process,0,0,"Mostly explainer footage with people, molecular models, and slides; not a clean crystal nucleation dynamic process video."
vdcr_archive_b04_000040,Crystal Nucleation,media/vdcr_raw_pilot_v1/vdcr_archive_b04_000040.webm,media/vdcr_frames_pilot_v1/vdcr_archive_b04_000040/contact_sheet.jpg,reject,food_explainer_not_target_process,0,0,Food/flash-freezing explainer with people and contextual text; not a clean crystal nucleation direct-answer sample.
vdcr_archive_b05_000002,Reaction-Diffusion Wave,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000002.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b05_000002/contact_sheet.jpg,reject,wrong_sense_retrieval,0,0,"Search matched animated character/art footage, not a reaction-diffusion wave process."
vdcr_archive_b05_000015,Gel Swelling,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000015.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b05_000015/contact_sheet.jpg,reject,medical_stock_ad_not_process,0,0,Medical stock/ad footage with watermarks and symptom text; not gel swelling dynamics.
vdcr_archive_b02_000007_seg_000000_090000,Belousov-Zhabotinsky Reaction,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000.webm,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b02_000007_seg_000000_090000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,90,Trimmed segment shows BZ reaction-diffusion ring/spiral chemical-wave dynamics in a dish without answer text.
vdcr_archive_earth_000008,Pahoehoe Lava Roping,media/vdcr_raw_pilot_v1/vdcr_archive_earth_000008.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000008/contact_sheet.jpg,revise,trim_to_ropy_lava_sequence,1825,1860,"Kilauea film contains real ropy pahoehoe lava surface and advancing flow, but the full clip includes maps, captions, and credits; trim the clean ropy-lava sequence."
vdcr_archive_earth_000010,Aa Lava Front Advance,media/vdcr_raw_pilot_v1/vdcr_archive_earth_000010.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000010/contact_sheet.jpg,review,manual_specificity_check,0,1007,"Real volcano/lava footage without heavy text, but contact sheets do not prove a clean blocky aa lava front advance segment; keep as source lead."
vdcr_archive_earth_000013,Ice Cliff Calving,media/vdcr_raw_pilot_v1/vdcr_archive_earth_000013.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000013/contact_sheet.jpg,reject,label_and_credit_heavy_visualization,0,0,"NASA cryosphere visualization contains extensive labels, dates, and credits; not a clean ice-cliff calving direct-answer sample."
vdcr_archive_earth_000014,Ice Cliff Calving,media/vdcr_raw_pilot_v1/vdcr_archive_earth_000014.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000014/contact_sheet.jpg,revise,trim_to_calving_sequence,42,60,Greenland footage contains a clean glacier-front collapse/calving sequence near 42-60s; trim before passing.
vdcr_archive_earth_000020,Dune Slip-Face Avalanche,,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000020/contact_sheet.jpg,reject,download_failed_unauthorized,0,0,"Archive direct media returned HTTP 401 Unauthorized, so the candidate cannot be reviewed or released from this source."
vdcr_archive_earth_000029,Debris-Flow Surge Propagation,media/vdcr_raw_pilot_v1/vdcr_archive_earth_000029.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000029/contact_sheet.jpg,reject,news_aftermath_not_clean_dynamic_process,0,0,"News footage shows landslide/mudflow aftermath, rescue work, watermarks, and captions, but not a clean debris-flow surge propagation sequence."
vdcr_archive_earth_000034,Downburst / Microburst Outflow,media/vdcr_raw_pilot_v1/vdcr_archive_earth_000034.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_earth_000034/contact_sheet.jpg,reject,captioned_explainer_not_clean_process,0,0,"NASA explainer has interview shots, cockpit footage, and large captions mentioning microburst/wind currents; not a clean direct-answer sample."
vdcr_archive_earth_000008_seg_1825000_1860000,Pahoehoe Lava Roping,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,35,Trimmed segment removes maps/captions and shows ropy pahoehoe lava surface/flow dynamics without answer text.
vdcr_archive_earth_000014_seg_042000_055000,Ice Cliff Calving,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,13,Trimmed segment removes the later title card and shows ice cliff detachment/collapse into water without answer text.
vdcr_archive_b02_000006_seg_270000_280000_crop,Iodine Clock Reaction,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,10,Cropped segment removes bottom subtitles and setup labels; flask contents undergo a delayed sudden dark color transition without answer text.
vdcr_archive_b03_000028_seg_075000_115000,Cytoplasmic Streaming,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,40,Trimmed segment removes earlier teaching labels; close microscopy shows intracellular granule/endoplasm motion and cell-shape change without answer text.
vdcr_archive_b03_000027,Thigmonasty,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000027/contact_sheet.jpg,pass_candidate,ready_for_license_check,0,12.9,"Clean Mimosa pudica touch-response clip; leaflets fold after finger contact with no visible concept text, instantiating touch-induced nastic movement."
vdcr_archive_b03_000025,Thigmonasty,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000025.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000025/contact_sheet.jpg,review,duplicate_concept_lower_priority,0,36.1,"Clean Mimosa pudica touch-response footage, but not admitted because vdcr_archive_b03_000027 is shorter and already covers Thigmonasty."
vdcr_archive_b03_000026,Thigmonasty,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000026.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000026/contact_sheet.jpg,review,duplicate_concept_lower_priority,0,21.1,"Clean Mimosa pudica touch-response footage, but not admitted because vdcr_archive_b03_000027 is shorter and already covers Thigmonasty."
vdcr_archive_b02_000004,Shear Thickening,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000004.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000004/contact_sheet.jpg,revise,find_clean_non_newtonian_window,0,0,"Source contains relevant shear-thickening/non-Newtonian material tests but has many scene cuts, captions, product shots, and unrelated military footage; requires a short clean dynamic segment."
vdcr_archive_only_000022,Gyroscopic Precession,media/vdcr_raw_pilot_v1/vdcr_archive_only_000022.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_only_000022/contact_sheet.jpg,reject,animation_text_and_mixed_target,0,0,Gyro-X explainer has watermark/text cards and focuses on vehicle explanation rather than a clean gyroscopic-precession process.
vdcr_archive_only_000023,Gyroscopic Precession,media/vdcr_raw_pilot_v1/vdcr_archive_only_000023.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_only_000023/contact_sheet.jpg,reject,text_label_leakage,0,0,"Gyroscope explainer repeatedly overlays Angular Momentum, Torque, Force, and Gyroscope labels; not a clean direct-answer sample."
vdcr_archive_b02_000003,Rayleigh-Benard Convection,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000003.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000003/contact_sheet.jpg,reject,text_and_plot_visualization,0,0,"Visualization contains title text, axes, Lorenz attractor plots, and temperature labels; too much explicit scientific context for VDCR direct-answer release."
vdcr_archive_b02_000032,Jet Propulsion Swimming,media/vdcr_raw_pilot_v1/vdcr_archive_b02_000032.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b02_000032/contact_sheet.jpg,reject,static_octopus_not_jet_propulsion,0,0,Footage mostly shows a stationary octopus with title/branding; contact sheet does not show a jet-propulsion swimming event.
vdcr_archive_b03_000038,Gastrulation,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000038.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000038/contact_sheet.jpg,review,possible_clean_embryo_window,0,950,"Historical amphibian embryo film includes potentially useful cleavage/gastrulation-like morphology sequences, but needs playback-level segment search and concept disambiguation before passing."
vdcr_archive_b03_000020,Phototropism,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000020.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000020/contact_sheet.jpg,reject,teaching_film_mixed_processes,0,0,Teaching film mixes multiple plant/animal demonstrations and lab apparatus; not a clean phototropism-only direct-answer sample.
vdcr_archive_b03_000060,Tidal Bore,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000060.ogv,media/vdcr_frames_pilot_v1/vdcr_archive_b03_000060/contact_sheet.jpg,reject,educational_tide_explainer_not_tidal_bore,0,0,"Clip is a general tides educational film with diagrams and text, not clean footage of tidal-bore propagation."
vdcr_archive_b05_000001,Reaction-Diffusion Wave,media/vdcr_raw_pilot_v1/vdcr_archive_b05_000001.mp4,media/vdcr_frames_pilot_v1/vdcr_archive_b05_000001/contact_sheet.jpg,review,synthetic_visualization_specificity_check,0,900,"Dynamic reaction-diffusion-like visual patterns are present, but source appears to be synthetic audiovisual art; needs specificity and leakage review before benchmark use."
vdcr_archive_b02_000004_seg_178000_196000,Shear Thickening,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,18,Trimmed segment removes graph/title/ad scenes; hand rapidly stirs and grabs oobleck-like suspension that behaves solid under shear and then flows without answer text.
vdcr_archive_earth_000010_seg_120000_145000,Aa Lava Front Advance,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,media/vdcr_segment_frames_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,25,Trimmed segment from a public-domain volcano film shows blocky aa lava front advancing and overturning without title cards or answer text.
vdcr_archive_b03_000057_seg_034000_050000_crop,Fire-Whirl Vortex Formation,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,media/vdcr_segment_frames_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop/contact_sheet.jpg,pass_candidate,segment_ready_for_license_check,0,16,Cropped segment removes news captions and credits; fire column rotates into a visible whirl with no answer text in-frame.
vdcr_commons_mr1_000001_seg_008000_020000,Chemical Garden Growth,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000.mp4,media/vdcr_commons_manual_clean_segment_frames_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000/contact_sheet.jpg,pass_candidate,commons_segment_ready_for_license_check,0,12,New Commons segment trims title cards and explanatory overlays; visible tubular precipitate structures grow upward over time without answer text.
vdcr_commons_mr1_000002_seg_020000_150000,Blue Bottle Reaction,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000.mp4,media/vdcr_commons_manual_clean_segment_frames_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000/contact_sheet.jpg,pass_candidate,commons_segment_ready_for_license_check,0,130,"New Commons segment removes the opening whiteboard answer text; flask cycles between blue and colorless states under shaking/resting, supporting the named redox indicator reaction."
vdcr_commons_mr1_000003,Phototropism,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,media/vdcr_commons_manual_frames_round1_v1/vdcr_commons_mr1_000003/contact_sheet.jpg,pass_candidate,commons_raw_ready_for_license_check,0,18,New Commons time-lapse shows tomato seedlings changing curvature direction over time toward illumination with no visible answer text.
