concept_id,domain,subdomain,capability_label,dynamic_concept,aliases,linked_principle_id,linked_principle,required_dynamic_signature,why_static_insufficient,search_queries,hard_negative_concepts,reject_conditions,priority
DCR_CHEM_DEND_001,chemistry_materials_change,phase_change_and_crystallization,DCR,dendritic crystal growth,dendrite growth; branching crystal growth; metal dendrites,CHM_PHA_002,Anisotropic solidification or deposition creates branching growth fronts.,Branching crystals extend from nucleation sites over time.,A still frame cannot establish branching growth direction or active growth.,dendritic crystal growth time lapse|metal dendrite growth video|ice dendrite growth microscopy,precipitate cloud; final crystal; random sediment,Reject final crystals without visible growth sequence.,core
DCR_CHEM_GARDEN_001,chemistry_materials_change,precipitation_and_solubility,DCR,chemical garden,silicate garden; precipitation tubes; crystal garden,CHM_PRE_002,Local precipitation and osmosis build tubular membranes at reaction interfaces.,Colored tubular or branching structures grow upward/outward in solution.,A still frame cannot reveal active tube growth or membrane-driven extension.,chemical garden growth time lapse|silicate garden precipitation tubes video|crystal garden growth video,ordinary crystallization; dye diffusion; bubbles,Reject static finished gardens without growth sequence.,core
DCR_CHEM_BENEDICT_001,chemistry_materials_change,redox_and_endpoint_reactions,DCR,Benedict test positive reaction,Benedict reagent; reducing sugar test,CHM_RED_002,Reducing sugars convert copper(II) to copper(I) oxide during heating.,Blue solution changes toward orange-red with precipitate formation while heated.,A still frame cannot verify heating-linked reduction and precipitate formation.,Benedict test reducing sugar color change video|Benedict reagent precipitate heating video|Benedict positive test video,iodine test; pH indicator; simple boiling,Reject final tube comparisons without the heating transition.,core
DCR_CHEM_BLUE_001,chemistry_materials_change,redox_and_endpoint_reactions,DCR,blue bottle reaction,redox color cycle; blue bottle experiment,CHM_RED_003,Oxygenation and reduction cycle an indicator between color states.,Shaking turns the solution blue and resting fades it repeatedly.,A still frame cannot show the reversible cycle tied to agitation/rest.,blue bottle reaction video|blue bottle redox color cycle|reversible color change shaking reaction,one-way dye mixing; iodine clock; precipitation,Reject non-cyclic one-way color changes.,core
DCR_CHEM_CLOCK_001,chemistry_materials_change,redox_and_endpoint_reactions,DCR,iodine clock reaction,clock reaction; starch iodine clock,CHM_RED_001,Delayed visible color appears after reductant depletion.,A mixture remains light and then abruptly turns dark after a delay.,A still frame cannot identify delayed endpoint kinetics.,iodine clock reaction video|iodine clock delayed color change|starch iodine clock reaction,pH indicator; simple dye mixing; precipitation,Reject gradual color changes without a delayed abrupt endpoint.,core
DCR_EAR_GLCALV_001,earth_environmental_systems,cryosphere_and_seasonal_change,DCR,glacier calving,iceberg calving; ice cliff collapse,EAR_CRY_002,Fractures propagate and unsupported ice detaches into water.,"An ice front cracks, detaches, falls, and generates waves or roll-over.",A still frame cannot reveal fracture propagation and detachment.,glacier calving video|iceberg calving slow motion|glacier front collapse video,avalanche; ordinary wave; glacier flow,Reject clips showing only floating ice after detachment.,core
DCR_EAR_SALT_001,earth_environmental_systems,erosion_transport_and_deposition,DCR,sediment saltation,grain saltation; sand hopping; bedload saltation,EAR_ERO_001,Fluid shear lifts grains into short hopping trajectories.,Particles transition from rest to bouncing/hopping transport above a bed.,A still frame cannot show threshold and hopping trajectories.,sediment saltation flume video|sand grain saltation slow motion|bedload saltation video,suspension cloud; landslide; simple settling,Reject videos where grains are already moving without visible saltation.,core
DCR_EAR_PYRO_001,earth_environmental_systems,geology_and_geophysical_change,DCR,pyroclastic density current,pyroclastic flow; ash gravity current,EAR_GEO_002,Hot particle-laden gas moves downslope as a dense gravity current.,A ground-hugging ash cloud accelerates downslope from a volcanic source.,A still frame cannot distinguish flow direction and gravity-current behavior.,pyroclastic flow video|pyroclastic density current footage|volcanic ash gravity current video,ash plume rise; landslide dust; cloud shadow,Reject vertical ash plumes without ground-hugging flow.,core
DCR_EAR_MEANDER_001,earth_environmental_systems,hydrology_and_flow_processes,DCR,meander migration,river meander migration; cutbank erosion point bar deposition,EAR_HYD_001,Flow erodes the outer bank and deposits sediment on the inner bank.,A channel bend shifts laterally or cutbank/point-bar changes over time.,A still frame cannot establish migration direction or erosion/deposition sequence.,river meander migration time lapse|meander erosion deposition video|stream table meander migration,straight runoff; delta growth; debris flow,Reject static aerial images without change over time.,core
DCR_EAR_DOWN_001,earth_environmental_systems,weather_and_atmospheric_dynamics,DCR,downburst,microburst; descending storm outflow,EAR_WEA_001,Descending air spreads outward as damaging outflow near the ground.,Cloud or precipitation core descends and surface outflow spreads radially.,A still frame cannot reveal downward motion and outflow spread.,downburst time lapse storm video|microburst video rain shaft outflow|downburst cloud motion video,tornado; supercell rotation; ordinary rain shaft,Reject clips without descending/outward flow evidence.,core
DCR_EAR_SUPER_001,earth_environmental_systems,weather_and_atmospheric_dynamics,DCR,supercell thunderstorm,rotating supercell; mesocyclone,EAR_WEA_002,Rotating updraft organizes a thunderstorm structure.,Cloud base or storm structure rotates persistently with organized inflow/outflow.,A still frame cannot establish persistent rotation.,supercell thunderstorm time lapse rotation|rotating supercell cloud video|mesocyclone time lapse,downburst; ordinary cumulus; dust devil,Reject clips with dramatic clouds but no rotation sequence.,core
DCR_EAR_TORN_001,earth_environmental_systems,weather_and_atmospheric_dynamics,DCR,tornado genesis,funnel cloud formation; tornadogenesis,EAR_WEA_002,A rotating column condenses and connects cloud base to ground circulation.,A funnel lowers or tightens while surface debris/rotation develops.,A still frame cannot show genesis sequence or ground connection.,tornado formation time lapse|funnel cloud genesis video|tornadogenesis video,downburst; dust devil; supercell without funnel,Reject clips that only show a mature distant tornado without formation evidence.,core
DCR_ENG_FIL_001,engineered_systems_and_operations,filtration_and_separation,DCR,filter cake formation,cake filtration; filter clogging front,ENG_SEP_001,Particles accumulate on a porous medium and change flow resistance.,A visible layer grows on the filter while filtrate flow changes.,A still frame cannot establish accumulation rate or flow-response coupling.,filter cake formation video|cake filtration time lapse|filter clogging particles video,sedimentation; simple pouring; centrifugation,Reject clips showing only clean or final dirty filters.,core
DCR_ENG_GRAN_001,engineered_systems_and_operations,filtration_and_separation,DCR,Brazil nut effect,granular segregation; vibration size segregation,ENG_SEP_003,Vibration causes smaller grains to percolate downward and larger objects to rise.,Large particles rise or size layers form under shaking.,A still frame cannot reveal segregation direction or vibration-driven process.,Brazil nut effect vibration video|granular segregation shaking video|vibration size segregation video,sedimentation; mixing; static stratification,Reject clips with pre-sorted layers only.,core
DCR_ENG_CHATTER_001,engineered_systems_and_operations,machines_control_and_failure_modes,DCR,machining chatter,chatter vibration; regenerative chatter,ENG_FAIL_001,Self-excited vibration grows during cutting and leaves periodic surface marks.,Tool or workpiece oscillates visibly with changing sound/surface pattern.,A still frame cannot reveal vibration frequency or growth.,machining chatter vibration video|lathe chatter slow motion|milling chatter vibration video,steady cutting; built-up edge; resonance demo without cutting,Reject clips with only final surface marks and no dynamic vibration.,core
DCR_ENG_PID_001,engineered_systems_and_operations,machines_control_and_failure_modes,DCR,PID overshoot,control overshoot; feedback overshoot; setpoint overshoot,ENG_PRS_003,Feedback correction drives the output past the setpoint before settling.,A controlled variable rises past target and oscillates or settles back.,A still frame cannot show setpoint crossing and settling behavior.,PID overshoot control system video|feedback control overshoot demonstration|control loop step response video,steady tracking; random vibration; open-loop motion,Reject clips without visible target/setpoint or response trace.,core
DCR_ENG_CAV_001,engineered_systems_and_operations,pressure_flow_and_process_control,DCR,cavitation,pump cavitation; vapor bubble collapse; propeller cavitation,ENG_PRS_001,Low pressure forms vapor bubbles that collapse as pressure recovers.,"Bubbles appear near a propeller, valve, or pump and collapse or cloud dynamically.",A still frame cannot distinguish cavitation from ordinary air bubbles.,cavitation propeller slow motion|pump cavitation video|cavitation bubble collapse video,gas evolution; boiling; aeration,Reject clips with injected air bubbles but no pressure-driven collapse.,core
DCR_ENG_WATER_001,engineered_systems_and_operations,pressure_flow_and_process_control,DCR,water hammer,hydraulic shock; pipe water hammer,ENG_PRS_003,Rapid flow stoppage creates a pressure transient and pipe vibration.,"Valve closure or flow interruption is followed by visible pipe vibration, pressure spike, or banging.",A still frame cannot reveal transient timing or oscillation.,water hammer pipe vibration video|hydraulic shock valve closure video|water hammer pressure transient demonstration,steady pump flow; cavitation; ordinary vibration,Reject clips without a flow-change trigger.,core
DCR_ENG_BUE_001,engineered_systems_and_operations,tooling_force_and_precision,DCR,built-up edge,BUE; built up edge machining; chip adhesion,ENG_TOOL_001,Material adheres to a cutting tool edge and intermittently breaks away.,Chip/tool contact shows adhesion growth and sudden detachment at the cutting edge.,A still frame cannot show intermittent formation and shedding.,built up edge machining video|BUE cutting tool slow motion|built-up edge chip formation video,continuous chip; chatter; tool wear only,Reject clips without visible tool-edge adhesion dynamics.,core
DCR_PHY_RT_001,physics_physical_systems,fluids_pressure_and_buoyancy,DCR,Rayleigh-Taylor instability,Rayleigh Taylor fingers; density inversion plumes,PHY_FLU_002,A denser fluid penetrates a lighter fluid under acceleration or gravity.,Finger-like plumes grow downward/upward from an unstable density interface.,A still frame cannot show growth direction or instability development.,Rayleigh Taylor instability video|density inversion plume video|Rayleigh Taylor fingers experiment,diffusion; convection cell; simple pouring,Reject clips with no visible interface evolution.,core
DCR_PHY_SIPHON_001,physics_physical_systems,fluids_pressure_and_buoyancy,DCR,siphon,siphon flow; self-sustaining siphon,PHY_FLU_003,Pressure gradients and gravity maintain liquid flow after priming.,Liquid continues through an inverted tube with visible source/drain level changes.,A still frame can show a tube but not primed continuous flow.,transparent siphon demonstration video|siphon flow liquid level video|siphon experiment video,pump flow; capillary rise; simple pouring,Reject clips where flow is pump-driven or not visibly continuous after priming.,core
DCR_PHY_WAVE_001,physics_physical_systems,fluids_pressure_and_buoyancy,DCR,Kelvin-Helmholtz instability,shear wave billows; Kelvin Helmholtz clouds,PHY_FLU_001,Velocity shear produces rolling wave-like billows at an interface.,"Billows roll up along a fluid, cloud, or density interface.",A still frame may resemble waves but cannot show shear-driven roll-up.,Kelvin Helmholtz instability time lapse|Kelvin Helmholtz clouds video|shear billows fluid video,surface gravity waves; smoke plume; static cloud bands,Reject clips without interface roll-up or with only static cloud shapes.,core
DCR_PHY_MAGNUS_001,physics_physical_systems,motion_forces_and_energy,DCR,banana kick / curveball,banana shot; curveball; bending free kick; Magnus kick,PHY_FOR_002,Spin-dependent aerodynamic lift bends a projectile trajectory.,A spinning ball follows a visibly curved path after launch.,A still frame can show a ball but not spin-coupled trajectory curvature.,banana kick slow motion|curveball slow motion baseball|Magnus effect soccer free kick video,ordinary projectile arc; knuckleball; straight kick,Reject clips without visible curved trajectory or without evidence of spin.,core
DCR_PHY_DIVE_001,physics_physical_systems,oscillation_rotation_and_vibration,DCR,somersault twist dive,twisting dive; platform dive twist; springboard twist,PHY_OSC_003,Body configuration changes angular velocity and rotation axes.,"The diver transitions through takeoff, somersault, twist, and entry.",A still frame cannot reveal rotation axis changes or twist count.,twisting dive slow motion|platform diving twist slow motion|springboard somersault twist video,plain somersault; cartwheel dive; static pose,"Reject clips missing takeoff or entry, or where twist count is not visible.",core
DCR_PHY_SKATE_001,physics_physical_systems,oscillation_rotation_and_vibration,DCR,triple Axel,Axel jump; figure skating Axel; 3A,PHY_OSC_003,Angular momentum and takeoff geometry determine airborne rotation.,"Forward outside-edge takeoff, multiple airborne rotations, and backward landing are visible.","A still frame cannot establish takeoff edge, direction, rotation count, or landing sequence.",triple Axel slow motion|figure skating triple Axel takeoff landing|Axel jump slow motion,toe loop; Salchow; double Axel,Reject clips where the full takeoff-to-landing sequence is not visible.,core
DCR_PHY_CAP_001,physics_physical_systems,surface_and_capillary_processes,DCR,capillary rise,capillary action; wicking front; paper chromatography rise,PHY_SUR_002,Adhesion and surface tension pull liquid through narrow pores or tubes.,"A liquid front rises or advances through a narrow tube, paper, or porous structure.",A still frame cannot establish the direction and progression of the wetting front.,capillary rise time lapse|paper wicking capillary action video|capillary action tube video,bulk pouring; diffusion cloud; surface beading,Reject clips where liquid is simply poured or already at final height.,core
DCR_PHY_LEIDEN_001,physics_physical_systems,thermal_physical_response,DCR,Leidenfrost effect,Leidenfrost droplet; vapor cushion droplet,PHY_THR_002,A vapor layer supports droplets on a very hot surface.,"Droplets skitter, glide, or persist on a hot surface instead of immediately boiling away.",A still frame cannot distinguish vapor-supported motion from ordinary droplet placement.,Leidenfrost effect droplet slow motion|Leidenfrost droplet hot plate video|water droplet skittering hot pan,ordinary boiling; wetting spread; evaporation,Reject ordinary boiling without gliding or vapor-layer behavior.,core
