search_term,initial_category,candidate_knowledge_point,default_start_sec,default_end_sec,why_dynamic,notes
wax solidifying time lapse,chemistry_material_change,Cooling can cause liquid to solidify.,0,60,The video should visibly show the temporal process for: Cooling can cause liquid to solidify.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
salt crystallization evaporation time lapse,chemistry_material_change,Solvent evaporation can leave crystals behind.,0,60,The video should visibly show the temporal process for: Solvent evaporation can leave crystals behind.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
crystals form as water evaporates video,chemistry_material_change,Solvent evaporation can leave crystals behind.,0,60,The video should visibly show the temporal process for: Solvent evaporation can leave crystals behind.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
evaporation crystallization demonstration,chemistry_material_change,Solvent evaporation can leave crystals behind.,0,60,The video should visibly show the temporal process for: Solvent evaporation can leave crystals behind.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
plant phototropism time lapse video,biology_life_processes,Plant shoots can grow toward a light source.,0,60,The video should visibly show the temporal process for: Plant shoots can grow toward a light source.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
seedling grows toward light timelapse,biology_life_processes,Plant shoots can grow toward a light source.,0,60,The video should visibly show the temporal process for: Plant shoots can grow toward a light source.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
shoot bends toward light video,biology_life_processes,Plant shoots can grow toward a light source.,0,60,The video should visibly show the temporal process for: Plant shoots can grow toward a light source.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
root gravitropism time lapse video,biology_life_processes,Roots can grow downward in response to gravity.,0,60,The video should visibly show the temporal process for: Roots can grow downward in response to gravity.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
roots grow downward timelapse,biology_life_processes,Roots can grow downward in response to gravity.,0,60,The video should visibly show the temporal process for: Roots can grow downward in response to gravity.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
seed germination root downward video,biology_life_processes,Roots can grow downward in response to gravity.,0,60,The video should visibly show the temporal process for: Roots can grow downward in response to gravity.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
colored water celery capillary action video,biology_life_processes,Water can move through narrow plant structures by capillary action.,0,60,The video should visibly show the temporal process for: Water can move through narrow plant structures by capillary action.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
plant capillary action demonstration,biology_life_processes,Water can move through narrow plant structures by capillary action.,0,60,The video should visibly show the temporal process for: Water can move through narrow plant structures by capillary action.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
water moves up celery food coloring,biology_life_processes,Water can move through narrow plant structures by capillary action.,0,60,The video should visibly show the temporal process for: Water can move through narrow plant structures by capillary action.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
transpiration bag plant water droplets video,biology_life_processes,Transpiration helps move water through plants.,0,60,The video should visibly show the temporal process for: Transpiration helps move water through plants.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
plant transpiration demonstration video,biology_life_processes,Transpiration helps move water through plants.,0,60,The video should visibly show the temporal process for: Transpiration helps move water through plants.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
water loss from leaves experiment,biology_life_processes,Transpiration helps move water through plants.,0,60,The video should visibly show the temporal process for: Transpiration helps move water through plants.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
muscle joint model contraction video,biology_life_processes,Muscles move joints by contraction and pulling.,0,60,The video should visibly show the temporal process for: Muscles move joints by contraction and pulling.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
biceps triceps joint model demonstration,biology_life_processes,Muscles move joints by contraction and pulling.,0,60,The video should visibly show the temporal process for: Muscles move joints by contraction and pulling.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
muscle contraction moves arm model,biology_life_processes,Muscles move joints by contraction and pulling.,0,60,The video should visibly show the temporal process for: Muscles move joints by contraction and pulling.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
heart pump model liquid circulation video,biology_life_processes,A pump-like organ can drive fluid circulation.,0,60,The video should visibly show the temporal process for: A pump-like organ can drive fluid circulation.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
heart model pumping water demonstration,biology_life_processes,A pump-like organ can drive fluid circulation.,0,60,The video should visibly show the temporal process for: A pump-like organ can drive fluid circulation.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
circulatory pump demo video,biology_life_processes,A pump-like organ can drive fluid circulation.,0,60,The video should visibly show the temporal process for: A pump-like organ can drive fluid circulation.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
phototaxis organism moves toward light video,biology_life_processes,Some organisms move toward or away from light.,0,60,The video should visibly show the temporal process for: Some organisms move toward or away from light.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
insects moving toward light experiment,biology_life_processes,Some organisms move toward or away from light.,0,60,The video should visibly show the temporal process for: Some organisms move toward or away from light.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
euglena phototaxis video,biology_life_processes,Some organisms move toward or away from light.,0,60,The video should visibly show the temporal process for: Some organisms move toward or away from light.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
seed germination time lapse root shoot video,biology_life_processes,Seed germination involves root and shoot emergence.,0,60,The video should visibly show the temporal process for: Seed germination involves root and shoot emergence.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
bean seed germination timelapse,biology_life_processes,Seed germination involves root and shoot emergence.,0,60,The video should visibly show the temporal process for: Seed germination involves root and shoot emergence.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
sprout root shoot emergence video,biology_life_processes,Seed germination involves root and shoot emergence.,0,60,The video should visibly show the temporal process for: Seed germination involves root and shoot emergence.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
leaf transpiration water vapor demonstration video,biology_life_processes,Leaves can lose water vapor through stomata.,0,60,The video should visibly show the temporal process for: Leaves can lose water vapor through stomata.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
stomata transpiration experiment video,biology_life_processes,Leaves can lose water vapor through stomata.,0,60,The video should visibly show the temporal process for: Leaves can lose water vapor through stomata.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
leaf water loss time lapse,biology_life_processes,Leaves can lose water vapor through stomata.,0,60,The video should visibly show the temporal process for: Leaves can lose water vapor through stomata.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
animal gait cycle slow motion video,biology_life_processes,Animal movement often uses repeated joint cycles.,0,60,The video should visibly show the temporal process for: Animal movement often uses repeated joint cycles.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
walking joint cycle demonstration,biology_life_processes,Animal movement often uses repeated joint cycles.,0,60,The video should visibly show the temporal process for: Animal movement often uses repeated joint cycles.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
locomotion repeated joint movement video,biology_life_processes,Animal movement often uses repeated joint cycles.,0,60,The video should visibly show the temporal process for: Animal movement often uses repeated joint cycles.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
sponge absorbing water video,everyday_causal_mechanisms,Porous materials absorb liquid through internal spaces.,0,60,The video should visibly show the temporal process for: Porous materials absorb liquid through internal spaces.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
paper towel absorbing water demonstration,everyday_causal_mechanisms,Porous materials absorb liquid through internal spaces.,0,60,The video should visibly show the temporal process for: Porous materials absorb liquid through internal spaces.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
porous material absorbs liquid time lapse,everyday_causal_mechanisms,Porous materials absorb liquid through internal spaces.,0,60,The video should visibly show the temporal process for: Porous materials absorb liquid through internal spaces.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
warm air rises convection demonstration video,everyday_causal_mechanisms,Warm air rises and can drive convection.,0,60,The video should visibly show the temporal process for: Warm air rises and can drive convection.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
candle smoke convection video,everyday_causal_mechanisms,Warm air rises and can drive convection.,0,60,The video should visibly show the temporal process for: Warm air rises and can drive convection.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
hot air moves paper spiral demo,everyday_causal_mechanisms,Warm air rises and can drive convection.,0,60,The video should visibly show the temporal process for: Warm air rises and can drive convection.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
evaporative cooling demonstration video,everyday_causal_mechanisms,Evaporation can cool a surface.,0,60,The video should visibly show the temporal process for: Evaporation can cool a surface.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
evaporation cools thermometer experiment,everyday_causal_mechanisms,Evaporation can cool a surface.,0,60,The video should visibly show the temporal process for: Evaporation can cool a surface.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
wet cloth cooling evaporation demo,everyday_causal_mechanisms,Evaporation can cool a surface.,0,60,The video should visibly show the temporal process for: Evaporation can cool a surface.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
iron filings magnetic field video,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,0,60,The video should visibly show the temporal process for: Magnetic fields can align or attract ferromagnetic materials.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
magnet attracts iron filings demonstration,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,0,60,The video should visibly show the temporal process for: Magnetic fields can align or attract ferromagnetic materials.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
magnetic field lines iron filings demo,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,0,60,The video should visibly show the temporal process for: Magnetic fields can align or attract ferromagnetic materials.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
pressure difference moves water demonstration,everyday_causal_mechanisms,Pressure differences can move fluids.,0,60,The video should visibly show the temporal process for: Pressure differences can move fluids.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
syringe pressure fluid movement video,everyday_causal_mechanisms,Pressure differences can move fluids.,0,60,The video should visibly show the temporal process for: Pressure differences can move fluids.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
air pressure water bottle experiment,everyday_causal_mechanisms,Pressure differences can move fluids.,0,60,The video should visibly show the temporal process for: Pressure differences can move fluids.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
capillary action paper towel water video,everyday_causal_mechanisms,Capillary action can pull liquid through narrow gaps.,0,60,The video should visibly show the temporal process for: Capillary action can pull liquid through narrow gaps.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
water climbs paper towel demonstration,everyday_causal_mechanisms,Capillary action can pull liquid through narrow gaps.,0,60,The video should visibly show the temporal process for: Capillary action can pull liquid through narrow gaps.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
capillary action narrow tube video,everyday_causal_mechanisms,Capillary action can pull liquid through narrow gaps.,0,60,The video should visibly show the temporal process for: Capillary action can pull liquid through narrow gaps.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
slipping due to low friction demonstration video,everyday_causal_mechanisms,Reduced friction can cause slipping.,0,60,The video should visibly show the temporal process for: Reduced friction can cause slipping.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
ice low friction object sliding video,everyday_causal_mechanisms,Reduced friction can cause slipping.,0,60,The video should visibly show the temporal process for: Reduced friction can cause slipping.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
tire slipping low friction video,everyday_causal_mechanisms,Reduced friction can cause slipping.,0,60,The video should visibly show the temporal process for: Reduced friction can cause slipping.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
center of mass tipping demonstration video,everyday_causal_mechanisms,Center of mass affects whether an object tips over.,0,60,The video should visibly show the temporal process for: Center of mass affects whether an object tips over.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
object tips over center of gravity demo,everyday_causal_mechanisms,Center of mass affects whether an object tips over.,0,60,The video should visibly show the temporal process for: Center of mass affects whether an object tips over.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
balancing center of mass experiment,everyday_causal_mechanisms,Center of mass affects whether an object tips over.,0,60,The video should visibly show the temporal process for: Center of mass affects whether an object tips over.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
surface tension paper clip water video,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,0,60,The video should visibly show the temporal process for: Surface tension can support or reshape small liquid structures.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
water strider surface tension video,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,0,60,The video should visibly show the temporal process for: Surface tension can support or reshape small liquid structures.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
droplet surface tension demonstration,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,0,60,The video should visibly show the temporal process for: Surface tension can support or reshape small liquid structures.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
vibration transfers energy demonstration video,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,0,60,The video should visibly show the temporal process for: Vibration can transfer energy through a medium.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
sound vibration moves objects video,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,0,60,The video should visibly show the temporal process for: Vibration can transfer energy through a medium.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
tuning fork water vibration demo,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,0,60,The video should visibly show the temporal process for: Vibration can transfer energy through a medium.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
clamp before drilling demonstration video,procedural_operational_principles,Fixing an object before cutting or drilling reduces motion error.,0,60,The video should visibly show the temporal process for: Fixing an object before cutting or drilling reduces motion error.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
clamping workpiece reduces movement video,procedural_operational_principles,Fixing an object before cutting or drilling reduces motion error.,0,60,The video should visibly show the temporal process for: Fixing an object before cutting or drilling reduces motion error.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
fix object before cutting demo,procedural_operational_principles,Fixing an object before cutting or drilling reduces motion error.,0,60,The video should visibly show the temporal process for: Fixing an object before cutting or drilling reduces motion error.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
thermal shock gradual heating glass demonstration,procedural_operational_principles,Gradual heating can reduce thermal shock.,0,60,The video should visibly show the temporal process for: Gradual heating can reduce thermal shock.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
glass thermal shock experiment video,procedural_operational_principles,Gradual heating can reduce thermal shock.,0,60,The video should visibly show the temporal process for: Gradual heating can reduce thermal shock.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
gradual heating prevents cracking demo,procedural_operational_principles,Gradual heating can reduce thermal shock.,0,60,The video should visibly show the temporal process for: Gradual heating can reduce thermal shock.,taxonomy_expanded_v0_6; requires visual review for dynamic evidence and title leakage.
