candidate_id,source_url,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,priority_score,review_flags,video_available,dynamic_process_visible,knowledge_point_supported,single_frame_likely_sufficient,title_or_subtitle_leakage_risk,first_pass_decision,reviewer_notes
candidate_000040,https://commons.wikimedia.org/wiki/File:20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,50.8,0.0,50.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000130,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,25.9,0.0,25.9,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000129,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,13.3,0.0,13.3,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000127,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s4.ogv,30.0,0.0,30.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000126,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,18.5,0.0,18.5,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000125,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s2.ogv,14.6,0.0,14.6,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000122,https://commons.wikimedia.org/wiki/File:54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,34.0,0.0,34.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000007,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,6.0,0.0,6.0,chemistry_material_change,Some chemical reactions produce color change.,The liquid changes color over time after reactants are combined.,5,title_or_caption_leakage_risk,,,,,yes,,
candidate_000112,https://commons.wikimedia.org/wiki/File:Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,16.6,0.0,16.6,biology_life_processes,Seed germination involves root and shoot emergence.,Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000107,https://commons.wikimedia.org/wiki/File:Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,24.0,0.0,24.0,biology_life_processes,Seed germination involves root and shoot emergence.,Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000104,https://commons.wikimedia.org/wiki/File:365_days_tree.ogv,18.2,0.0,18.2,biology_life_processes,Seed germination involves root and shoot emergence.,Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000038,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse.ogv,35.0,0.0,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000037,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,35.0,0.0,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,5,,,,,,,,
candidate_000023,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,21.0,0.0,21.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,The flame motion responds to airflow from singing over time.,4,noisy_source_or_mapping,,,,,,,
candidate_000020,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,35.0,0.0,35.0,everyday_causal_mechanisms,Pressure differences can move fluids.,The candle flame deforms dynamically when the electric field changes.,4,noisy_source_or_mapping,,,,,,,
candidate_000068,https://commons.wikimedia.org/wiki/File:Cap_4.6_-_Frequencia_de_engrenamento.ogv,50.0,0.0,50.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Collected from Category:Videos of oscillation; requires review for visible temporal evidence.,3,noisy_source_or_mapping,,,,,,,
