domain,subdomain,knowledge_point
earth_environmental_systems,weather_and_atmospheric_dynamics,Rotating atmospheric flow organizes clouds and precipitation into vortices.
earth_environmental_systems,hydrology_and_flow_processes,Gravity and hydraulic slope drive surface runoff and channelized flow.
earth_environmental_systems,hydrology_and_flow_processes,Infiltration advances a wetting front through porous soil.
earth_environmental_systems,erosion_transport_and_deposition,Sediment motion begins when fluid shear stress exceeds a transport threshold.
earth_environmental_systems,erosion_transport_and_deposition,Deposition and sorting occur because particle settling speed depends on size and density.
earth_environmental_systems,geology_and_geophysical_change,Slope failure occurs when driving stress exceeds material shear strength.
earth_environmental_systems,geology_and_geophysical_change,Pyroclastic density currents move as ground-hugging particle-laden gravity currents.
earth_environmental_systems,geology_and_geophysical_change,Lava flow forms a cooling crust while molten interior continues advancing.
earth_environmental_systems,cryosphere_and_seasonal_change,Glacier flow results from ice deformation and basal sliding.
earth_environmental_systems,cryosphere_and_seasonal_change,Glacier calving occurs when fractures propagate and unsupported ice detaches.
earth_environmental_systems,ecosystem_interactions,"Predation is a dynamic interaction of pursuit, attack, and prey response."
earth_environmental_systems,ecosystem_interactions,Animal-mediated pollination transfers pollen through contact with reproductive structures.
engineered_systems_and_operations,machines_control_and_failure_modes,Linkage constraints convert input rotation into a designed output path.
engineered_systems_and_operations,machines_control_and_failure_modes,Cam profiles convert continuous rotation into programmed follower displacement.
engineered_systems_and_operations,machines_control_and_failure_modes,Escapements discretize energy release into stepwise gear advance.
engineered_systems_and_operations,machines_control_and_failure_modes,Ratchets allow intermittent one-way motion while blocking reverse motion.
engineered_systems_and_operations,pressure_flow_and_process_control,Valves regulate flow by changing flow area and pressure drop.
engineered_systems_and_operations,pressure_flow_and_process_control,Pumps use cyclic volume or pressure changes to impose one-way fluid transport.
engineered_systems_and_operations,pressure_flow_and_process_control,Feedback control reduces deviation by sensing a variable and actuating a correction.
engineered_systems_and_operations,filtration_and_separation,Pressure-driven filtration separates solids by forcing fluid through porous media.
engineered_systems_and_operations,filtration_and_separation,Density-driven settling separates particles by gravitational settling velocity.
engineered_systems_and_operations,filtration_and_separation,Vibration can segregate granular mixtures when smaller grains percolate downward.
engineered_systems_and_operations,mixing_dispersion_and_wetting,"Mechanical mixing disperses components by stretching, folding, and advecting interfaces."
engineered_systems_and_operations,mixing_dispersion_and_wetting,Coating/wetting processes rely on contact-angle reduction and droplet coalescence into a film.
engineered_systems_and_operations,thermal_process_control,Hot forging uses elevated temperature to lower flow stress for controlled plastic deformation.
engineered_systems_and_operations,thermal_process_control,Quenching rapidly extracts heat to change material state and properties.
engineered_systems_and_operations,tooling_force_and_precision,Cutting forms chips when tool shear stress exceeds material strength along a shear plane.
engineered_systems_and_operations,tooling_force_and_precision,Drilling combines rotary cutting and axial feed to remove material as chips.
engineered_systems_and_operations,machines_control_and_failure_modes,Mechanical resonance can amplify vibration until structural instability or failure occurs.
engineered_systems_and_operations,pressure_flow_and_process_control,Clogging creates positive feedback by reducing flow area and increasing upstream accumulation.
biology_living_systems,animal_locomotion_and_biomechanics,jet propulsion swimming
biology_living_systems,germination_and_development,mitosis
biology_living_systems,organism_behavior_and_taxis,courtship display
biology_living_systems,organism_behavior_and_taxis,dynamic mimicry
biology_living_systems,plant_growth_and_tropisms,gravitropism
biology_living_systems,plant_growth_and_tropisms,phototropism
biology_living_systems,plant_water_relations_and_turgor,plasmolysis and deplasmolysis
biology_living_systems,plant_water_relations_and_turgor,cytoplasmic streaming
chemistry_materials_change,diffusion_mixing_and_transport,Taylor-Couette laminar mixing
chemistry_materials_change,material_deformation_and_response,shear thickening
chemistry_materials_change,phase_change_and_crystallization,dendritic crystal growth
chemistry_materials_change,precipitation_and_solubility,chemical garden
chemistry_materials_change,redox_and_endpoint_reactions,Benedict test positive reaction
chemistry_materials_change,redox_and_endpoint_reactions,blue bottle reaction
chemistry_materials_change,redox_and_endpoint_reactions,iodine clock reaction
earth_environmental_systems,cryosphere_and_seasonal_change,glacier calving
earth_environmental_systems,erosion_transport_and_deposition,sediment saltation
earth_environmental_systems,geology_and_geophysical_change,pyroclastic density current
earth_environmental_systems,hydrology_and_flow_processes,meander migration
earth_environmental_systems,weather_and_atmospheric_dynamics,downburst
earth_environmental_systems,weather_and_atmospheric_dynamics,supercell thunderstorm
earth_environmental_systems,weather_and_atmospheric_dynamics,tornado genesis
engineered_systems_and_operations,filtration_and_separation,filter cake formation
engineered_systems_and_operations,filtration_and_separation,Brazil nut effect
engineered_systems_and_operations,machines_control_and_failure_modes,machining chatter
engineered_systems_and_operations,machines_control_and_failure_modes,PID overshoot
engineered_systems_and_operations,pressure_flow_and_process_control,cavitation
engineered_systems_and_operations,pressure_flow_and_process_control,water hammer
engineered_systems_and_operations,tooling_force_and_precision,built-up edge
physics_physical_systems,fluids_pressure_and_buoyancy,Rayleigh-Taylor instability
physics_physical_systems,fluids_pressure_and_buoyancy,siphon
physics_physical_systems,fluids_pressure_and_buoyancy,Kelvin-Helmholtz instability
physics_physical_systems,motion_forces_and_energy,banana kick / curveball
physics_physical_systems,oscillation_rotation_and_vibration,somersault twist dive
physics_physical_systems,oscillation_rotation_and_vibration,triple Axel
physics_physical_systems,surface_and_capillary_processes,capillary rise
physics_physical_systems,thermal_physical_response,Leidenfrost effect
