candidate_id,source_url,source_platform,license_or_usage_note,domain,subdomain,capability_label,dynamic_concept_id,dynamic_concept,linked_principle_id,principle_id,principle,required_dynamic_signature,acceptable_video_types,reject_conditions,hard_negative_family,visible_dynamic_process,dynamic_signature_match,source_page_support_level,source_page_mechanism_evidence,source_double_check_decision,source_double_check_reason,source_page_context,review_decision,gate_reason,risk_tags,proposed_knowledge_point,proposed_knowledge_point_type,answerability_notes,distractor_requirements,frame_contact_sheet,local_media,is_new_source,source_reuse_status
,,,,chemistry_materials_change,gas_evolution_and_combustion,DMR,,,CHM_GAS_001,CHM_GAS_001,Gas-evolution reactions generate bubbles as products leave solution.,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",acid carbonate; metal acid hydrogen; decomposition gas,Reject ordinary boiling or pre-existing bubbles.,boiling; precipitation; diffusion,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Gas-evolution reactions generate bubbles as products leave solution.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: boiling; precipitation; diffusion",,,true,new_candidate_source
,,,,chemistry_materials_change,gas_evolution_and_combustion,DMR,,,CHM_GAS_001,CHM_GAS_001,Gas-evolution reactions generate bubbles as products leave solution.,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",acid carbonate; metal acid hydrogen; decomposition gas,Reject ordinary boiling or pre-existing bubbles.,boiling; precipitation; diffusion,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Gas-evolution reactions generate bubbles as products leave solution.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: boiling; precipitation; diffusion",,,true,new_candidate_source
,,,,chemistry_materials_change,material_deformation_and_response,DMR,,,CHM_MAT_001,CHM_MAT_001,Shear-thickening suspensions resist rapid stress while flowing under slow stress.,Material behaves liquid under slow motion but solid-like under impact.,cornstarch oobleck impact; shear thickening demos,Reject generic thick liquids without rate-dependent contrast.,gelation; plastic deformation; surface tension,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Shear-thickening suspensions resist rapid stress while flowing under slow stress.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: gelation; plastic deformation; surface tension",,,true,new_candidate_source
,,,,chemistry_materials_change,material_deformation_and_response,DMR,,,CHM_MAT_001,CHM_MAT_001,Shear-thickening suspensions resist rapid stress while flowing under slow stress.,Material behaves liquid under slow motion but solid-like under impact.,cornstarch oobleck impact; shear thickening demos,Reject generic thick liquids without rate-dependent contrast.,gelation; plastic deformation; surface tension,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Shear-thickening suspensions resist rapid stress while flowing under slow stress.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: gelation; plastic deformation; surface tension",,,true,new_candidate_source
,,,,chemistry_materials_change,material_deformation_and_response,DCR,DCR_CHEM_THICK_001,shear thickening,CHM_MAT_001,CHM_MAT_001,Shear-thickening suspensions resist rapid stress while flowing under slow stress.,The same material flows slowly but resists or fractures under rapid impact.,cornstarch oobleck impact; shear thickening demos,Reject clips showing only slow pouring or only a static impact aftermath.,high viscosity liquid; gel; plastic clay,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,shear thickening,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: high viscosity liquid; gel; plastic clay",,,true,new_candidate_source
,,,,chemistry_materials_change,phase_change_and_crystallization,DMR,,,CHM_PHA_001,CHM_PHA_001,Supersaturation enables nucleation followed by crystal growth.,Crystal nuclei appear and faces/fronts expand through solution.,supersaturated solution crystallization; sodium acetate hand warmer; crystal garden videos,Reject static crystals or source-only crystallization titles.,precipitation cloud; dye diffusion; melting only,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Supersaturation enables nucleation followed by crystal growth.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: precipitation cloud; dye diffusion; melting only",,,true,new_candidate_source
,,,,chemistry_materials_change,phase_change_and_crystallization,DMR,,,CHM_PHA_001,CHM_PHA_001,Supersaturation enables nucleation followed by crystal growth.,Crystal nuclei appear and faces/fronts expand through solution.,supersaturated solution crystallization; sodium acetate hand warmer; crystal garden videos,Reject static crystals or source-only crystallization titles.,precipitation cloud; dye diffusion; melting only,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Supersaturation enables nucleation followed by crystal growth.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: precipitation cloud; dye diffusion; melting only",,,true,new_candidate_source
,,,,chemistry_materials_change,phase_change_and_crystallization,DCR,DCR_CHEM_DEND_001,dendritic crystal growth,CHM_PHA_002,CHM_PHA_002,Solidification fronts propagate as liquid changes phase into ordered solid.,Branching crystals extend from nucleation sites over time.,freezing water; metal solidification; ice crystal growth,Reject final crystals without visible growth sequence.,precipitate cloud; final crystal; random sediment,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,dendritic crystal growth,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: precipitate cloud; final crystal; random sediment",,,true,new_candidate_source
,,,,chemistry_materials_change,precipitation_and_solubility,DMR,,,CHM_PRE_001,CHM_PRE_001,Ion mixing can exceed solubility product and produce an insoluble solid.,Solutions become cloudy or solid particles appear after mixing.,precipitation reaction demos; silver chloride; barium sulfate; lead iodide,Reject if the solid is already present before mixing or the identity is only in source text.,gas bubbles; dye diffusion; crystallization front,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Ion mixing can exceed solubility product and produce an insoluble solid.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: gas bubbles; dye diffusion; crystallization front",,,true,new_candidate_source
,,,,chemistry_materials_change,precipitation_and_solubility,DMR,,,CHM_PRE_001,CHM_PRE_001,Ion mixing can exceed solubility product and produce an insoluble solid.,Solutions become cloudy or solid particles appear after mixing.,precipitation reaction demos; silver chloride; barium sulfate; lead iodide,Reject if the solid is already present before mixing or the identity is only in source text.,gas bubbles; dye diffusion; crystallization front,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Ion mixing can exceed solubility product and produce an insoluble solid.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: gas bubbles; dye diffusion; crystallization front",,,true,new_candidate_source
,,,,chemistry_materials_change,precipitation_and_solubility,DCR,DCR_CHEM_GARDEN_001,chemical garden,CHM_PRE_002,CHM_PRE_002,Local supersaturation at a reaction interface creates precipitate bands or membranes.,Colored tubular or branching structures grow upward/outward in solution.,chemical garden; Liesegang rings; diffusion precipitation,Reject static finished gardens without growth sequence.,ordinary crystallization; dye diffusion; bubbles,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,chemical garden,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: ordinary crystallization; dye diffusion; bubbles",,,true,new_candidate_source
,,,,chemistry_materials_change,redox_and_endpoint_reactions,DMR,,,CHM_RED_001,CHM_RED_001,Iodine-clock kinetics delay starch-iodine color until reductant is depleted.,"A mixture remains light, then abruptly turns dark after a delay.",iodine clock reaction videos,Reject generic color changes without delayed endpoint.,precipitation; acid base indicator; diffusion,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Iodine-clock kinetics delay starch-iodine color until reductant is depleted.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: precipitation; acid base indicator; diffusion",,,true,new_candidate_source
,,,,chemistry_materials_change,redox_and_endpoint_reactions,DMR,,,CHM_RED_001,CHM_RED_001,Iodine-clock kinetics delay starch-iodine color until reductant is depleted.,"A mixture remains light, then abruptly turns dark after a delay.",iodine clock reaction videos,Reject generic color changes without delayed endpoint.,precipitation; acid base indicator; diffusion,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Iodine-clock kinetics delay starch-iodine color until reductant is depleted.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: precipitation; acid base indicator; diffusion",,,true,new_candidate_source
,,,,chemistry_materials_change,redox_and_endpoint_reactions,DCR,DCR_CHEM_BENEDICT_001,Benedict test positive reaction,CHM_RED_002,CHM_RED_002,Reducing sugars reduce copper(II) to copper(I) oxide during Benedict heating.,Blue solution changes toward orange-red with precipitate formation while heated.,Benedict test videos; reducing sugar demos,Reject final tube comparisons without the heating transition.,iodine test; pH indicator; simple boiling,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,Benedict test positive reaction,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: iodine test; pH indicator; simple boiling",,,true,new_candidate_source
,,,,earth_environmental_systems,cryosphere_and_seasonal_change,DMR,,,EAR_CRY_001,EAR_CRY_001,Glacier flow results from ice deformation and basal sliding.,"Ice features, crevasses, or markers move over time.",glacier flow time lapse; ice motion markers,Reject glacier scenery without measurable motion.,river flow; avalanche; calving only,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Glacier flow results from ice deformation and basal sliding.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: river flow; avalanche; calving only",,,true,new_candidate_source
,,,,earth_environmental_systems,cryosphere_and_seasonal_change,DMR,,,EAR_CRY_001,EAR_CRY_001,Glacier flow results from ice deformation and basal sliding.,"Ice features, crevasses, or markers move over time.",glacier flow time lapse; ice motion markers,Reject glacier scenery without measurable motion.,river flow; avalanche; calving only,,pending,pending,,pending_source_double_check,,,pending_principle_gate,Review video first against required_dynamic_signature; then use source page only if it contains specific mechanism evidence.,,Glacier flow results from ice deformation and basal sliding.,transferable_principle_or_mechanism,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: river flow; avalanche; calving only",,,true,new_candidate_source
,,,,earth_environmental_systems,cryosphere_and_seasonal_change,DCR,DCR_EAR_GLCALV_001,glacier calving,EAR_CRY_002,EAR_CRY_002,Glacier calving occurs when fractures propagate and unsupported ice detaches.,"An ice front cracks, detaches, falls, and generates waves or roll-over.",glacier calving slow motion; ice front fracture,Reject clips showing only floating ice after detachment.,avalanche; ordinary wave; glacier flow,,pending,pending,,pending_source_double_check,,,pending_dcr_gate,Review video first against the named dynamic concept signature; then use source page only if it specifically supports the concept/mechanism.,,glacier calving,named_dynamic_concept,Question must require the dynamic process; a single frame or source title should not be enough.,"Use hard negatives from same broad visual family, not copied choices from unrelated videos: avalanche; ordinary wave; glacier flow",,,true,new_candidate_source
