knowledge_id,category,knowledge_point,search_queries,hard_negative_pool,notes
kp_chem_001,chemistry_material_change,A solid can absorb heat and melt into a liquid.,"ice melting time lapse video|solid melting into liquid demonstration|wax melting heat demonstration","A liquid can evaporate when heated or exposed to airflow.;Cooling can cause liquid to solidify.;A gas can condense into liquid droplets on a cold surface.",Use visible solid-to-liquid change.
kp_chem_002,chemistry_material_change,A liquid can evaporate when heated or exposed to airflow.,"water evaporating time lapse video|evaporation demonstration video|liquid evaporates heat airflow demo","A solid can absorb heat and melt into a liquid.;A gas can condense into liquid droplets on a cold surface.;Solvent evaporation can leave crystals behind.",Avoid boiling-only if vapor not visible.
kp_chem_003,chemistry_material_change,Dissolved substances diffuse from high to low concentration.,"food coloring diffusion in water video|dye diffusion water demonstration|colored liquid diffusion time lapse","Persulfate iodine-clock reactions turn dark blue after thiosulfate is depleted and iodine binds starch.;Capillary action can pull liquid through narrow gaps.;Layering fluids can demonstrate density differences.",Need spreading over time.
kp_chem_004,chemistry_material_change,Acid-carbonate reactions can release carbon dioxide gas bubbles.,"baking soda vinegar carbon dioxide bubbles video|acid carbonate reaction gas production demo|effervescence carbon dioxide demonstration","Mixing ions that form an insoluble salt can produce a precipitate.;Benedict's reagent changes color when heated with reducing sugars.;A liquid can evaporate when heated or exposed to airflow.",Need visible bubbles/gas generation from a supported acid-carbonate setup; reject generic bubbling if chemistry is unnamed.
kp_chem_005,chemistry_material_change,Persulfate iodine-clock reactions turn dark blue after thiosulfate is depleted and iodine binds starch.,"iodine clock persulfate reaction video|iodine clock thiosulfate starch blue endpoint video|persulfate iodide iodine starch clock reaction","Dissolved substances diffuse from high to low concentration.;Mixing ions that form an insoluble salt can produce a precipitate.;Combustion requires fuel and oxygen.",Use source-grounded annotation only when the delayed dark-blue endpoint transition is visible; reject generic color-change reactions.
kp_chem_006,chemistry_material_change,Mixing ions that form an insoluble salt can produce a precipitate.,"precipitation reaction insoluble salt video|silver nitrate sodium chloride precipitate video|two clear liquids form insoluble precipitate","Benedict's reagent changes color when heated with reducing sugars.;Dissolved substances diffuse from high to low concentration.;Solvent evaporation can leave crystals behind.",Need solid formation after mixing two solutions; reject if the solid identity/mechanism is not supportable.
kp_chem_011,chemistry_material_change,Benedict's reagent changes color when heated with reducing sugars.,"Benedict reagent reducing sugar color change video|Benedict test glucose heated color change|Benedict reaction reducing sugars demonstration","Persulfate iodine-clock reactions turn dark blue after thiosulfate is depleted and iodine binds starch.;Mixing ions that form an insoluble salt can produce a precipitate.;Dissolved substances diffuse from high to low concentration.",Use only when heating and blue-to-yellow/orange/brown transition are visible; source title/provenance must stay out of evaluation JSONL.
kp_chem_007,chemistry_material_change,Materials can expand unevenly when heated.,"bimetal strip heating bends video|thermal expansion bimetal demonstration|metal strip bends when heated","A solid can absorb heat and melt into a liquid.;Elastic materials restore shape after deformation.;Warm air rises and can drive convection.",Use bimetal or similar visible bending.
kp_chem_008,chemistry_material_change,Combustion requires fuel and oxygen.,"candle oxygen jar extinguish video|combustion oxygen demonstration|flame goes out without oxygen demo","Acid-carbonate reactions can release carbon dioxide gas bubbles.;A liquid can evaporate when heated or exposed to airflow.;Warm air rises and can drive convection.",Avoid unsafe or ambiguous clips.
kp_chem_009,chemistry_material_change,Cooling can cause liquid to solidify.,"water freezing time lapse video|liquid solidifies cooling demonstration|wax solidifying time lapse","A solid can absorb heat and melt into a liquid.;A gas can condense into liquid droplets on a cold surface.;Solvent evaporation can leave crystals behind.",Need liquid-to-solid direction visible.
kp_chem_010,chemistry_material_change,Solvent evaporation can leave crystals behind.,"salt crystallization evaporation time lapse|crystals form as water evaporates video|evaporation crystallization demonstration","Mixing ions that form an insoluble salt can produce a precipitate.;Cooling can cause liquid to solidify.;Dissolved substances diffuse from high to low concentration.",Need evaporation/crystal growth over time.
kp_bio_001,biology_life_processes,Plant shoots can grow toward a light source.,"plant phototropism time lapse video|seedling grows toward light timelapse|shoot bends toward light video","Roots can grow downward in response to gravity.;Leaves can lose water vapor through stomata.;Water can move through narrow plant structures by capillary action.",Time-lapse is acceptable if dynamic direction is visible.
kp_bio_002,biology_life_processes,Roots can grow downward in response to gravity.,"root gravitropism time lapse video|roots grow downward timelapse|seed germination root downward video","Plant shoots can grow toward a light source.;Seed germination involves root and shoot emergence.;Capillary action can pull liquid through narrow gaps.",Need root direction change/growth.
kp_bio_003,biology_life_processes,Water can move through narrow plant structures by capillary action.,"colored water celery capillary action video|plant capillary action demonstration|water moves up celery food coloring","Transpiration helps move water through plants.;Dissolved substances diffuse from high to low concentration.;Porous materials absorb liquid through internal spaces.",Need visible color movement over time.
kp_bio_004,biology_life_processes,Transpiration helps move water through plants.,"transpiration bag plant water droplets video|plant transpiration demonstration video|water loss from leaves experiment","Leaves can lose water vapor through stomata.;Water can move through narrow plant structures by capillary action.;A liquid can evaporate when heated or exposed to airflow.",May be hard visually; flag for careful review.
kp_bio_005,biology_life_processes,Muscles move joints by contraction and pulling.,"muscle joint model contraction video|biceps triceps joint model demonstration|muscle contraction moves arm model","Animal movement often uses repeated joint cycles.;A pump-like organ can drive fluid circulation.;Elastic materials restore shape after deformation.",Models acceptable if process is visible.
kp_bio_006,biology_life_processes,A pump-like organ can drive fluid circulation.,"heart pump model liquid circulation video|heart model pumping water demonstration|circulatory pump demo video","Pressure differences can move fluids.;Muscles move joints by contraction and pulling.;Vibration can transfer energy through a medium.",Need fluid motion linked to pumping.
kp_bio_007,biology_life_processes,Some organisms move toward or away from light.,"phototaxis organism moves toward light video|insects moving toward light experiment|euglena phototaxis video","Plant shoots can grow toward a light source.;Roots can grow downward in response to gravity.;Animal movement often uses repeated joint cycles.",Avoid clips where behavior is not controlled.
kp_bio_008,biology_life_processes,Seed germination involves root and shoot emergence.,"seed germination time lapse root shoot video|bean seed germination timelapse|sprout root shoot emergence video","Roots can grow downward in response to gravity.;Plant shoots can grow toward a light source.;Water can move through narrow plant structures by capillary action.",Need root/shoot emergence over time.
kp_bio_009,biology_life_processes,Leaves can lose water vapor through stomata.,"leaf transpiration water vapor demonstration video|stomata transpiration experiment video|leaf water loss time lapse","Transpiration helps move water through plants.;A liquid can evaporate when heated or exposed to airflow.;Plant shoots can grow toward a light source.",Often needs indirect evidence; reject if not visual.
kp_bio_010,biology_life_processes,Animal movement often uses repeated joint cycles.,"animal gait cycle slow motion video|walking joint cycle demonstration|locomotion repeated joint movement video","Muscles move joints by contraction and pulling.;A pendulum exchanges gravitational potential energy and kinetic energy.;Vibration can transfer energy through a medium.",May be action recognition; keep only mechanism-clear clips.
kp_day_001,everyday_causal_mechanisms,Porous materials absorb liquid through internal spaces.,"sponge absorbing water video|paper towel absorbing water demonstration|porous material absorbs liquid time lapse","Capillary action can pull liquid through narrow gaps.;Dissolved substances diffuse from high to low concentration.;Surface tension can support small objects or droplets.",Need visible liquid uptake.
kp_day_002,everyday_causal_mechanisms,Warm air rises and can drive convection.,"warm air rises convection demonstration video|candle smoke convection video|hot air moves paper spiral demo","Evaporation can cool a surface.;Combustion requires fuel and oxygen.;Pressure differences can move fluids.",Need flow/motion caused by heat.
kp_day_003,everyday_causal_mechanisms,Evaporation can cool a surface.,"evaporative cooling demonstration video|evaporation cools thermometer experiment|wet cloth cooling evaporation demo","A liquid can evaporate when heated or exposed to airflow.;Warm air rises and can drive convection.;A solid can absorb heat and melt into a liquid.",Hard to show visually; may need measurement display.
kp_day_004,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,"iron filings magnetic field video|magnet attracts iron filings demonstration|magnetic field lines iron filings demo","Surface tension can support small objects or droplets.;Pressure differences can move fluids.;A spinning object can maintain angular momentum.",Single frame may be sufficient; prefer motion as magnet approaches.
kp_day_005,everyday_causal_mechanisms,Pressure differences can move fluids.,"pressure difference moves water demonstration|syringe pressure fluid movement video|air pressure water bottle experiment","Capillary action can pull liquid through narrow gaps.;Warm air rises and can drive convection.;Buoyancy depends on displaced fluid and object density.",Need dynamic fluid movement.
kp_day_006,everyday_causal_mechanisms,Capillary action can pull liquid through narrow gaps.,"capillary action paper towel water video|water climbs paper towel demonstration|capillary action narrow tube video","Porous materials absorb liquid through internal spaces.;Dissolved substances diffuse from high to low concentration.;Pressure differences can move fluids.",Need upward/narrow-gap movement over time.
kp_day_007,everyday_causal_mechanisms,Reduced friction can cause slipping.,"slipping due to low friction demonstration video|ice low friction object sliding video|tire slipping low friction video","Objects sliding on rough surfaces slow down due to friction.;Center of mass affects whether an object tips over.;Air resistance slows moving objects.",Avoid accident footage; use controlled demos.
kp_day_008,everyday_causal_mechanisms,Center of mass affects whether an object tips over.,"center of mass tipping demonstration video|object tips over center of gravity demo|balancing center of mass experiment","Reduced friction can cause slipping.;Unsupported objects accelerate downward under gravity.;Elastic materials restore shape after deformation.",Need motion from stable to tipping.
kp_day_009,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,"surface tension paper clip water video|water strider surface tension video|droplet surface tension demonstration|capillary breakup liquid filament video","Buoyancy depends on displaced fluid and object density.;Capillary action can pull liquid through narrow gaps.;Porous materials absorb liquid through internal spaces.",Single frame may be too easy for static support cases; capillary breakup gives stronger dynamic evidence.
kp_day_010,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,"vibration transfers energy demonstration video|sound vibration moves objects video|tuning fork water vibration demo","A pendulum exchanges gravitational potential energy and kinetic energy.;Warm air rises and can drive convection.;Magnetic fields can align or attract ferromagnetic materials.",Need vibration causing visible motion.
kp_proc_001,procedural_operational_principles,Fixing an object before cutting or drilling reduces motion error.,"clamp before drilling demonstration video|clamping workpiece reduces movement video|fix object before cutting demo","Sequential tightening can distribute force evenly.;Repeated small adjustments can stabilize a system better than one large adjustment.;Reduced friction can cause slipping.",Procedural clips risk being ordinary action; require visible before/after stability.
kp_proc_002,procedural_operational_principles,Gradual heating can reduce thermal shock.,"thermal shock gradual heating glass demonstration|glass thermal shock experiment video|gradual heating prevents cracking demo","Materials can expand unevenly when heated.;Combustion requires fuel and oxygen.;A solid can absorb heat and melt into a liquid.",Need controlled contrast if possible.
kp_proc_003,procedural_operational_principles,Stirring while adding powder improves dispersion.,"stir while adding powder prevents clumps video|mixing powder into liquid stirring demonstration|powder dispersion stirring demo","Dissolved substances diffuse from high to low concentration.;Filtering separates solids from liquids by particle size.;Settling separates materials by density over time.",May be easy from common sense; filter hard.
kp_proc_004,procedural_operational_principles,Venting before sealing can reduce pressure buildup.,"vent before sealing pressure buildup demonstration|container venting pressure demo video|pressure release before sealing experiment","Pressure differences can move fluids.;Warm air rises and can drive convection.;Combustion requires fuel and oxygen.",Need visible effect.
kp_proc_005,procedural_operational_principles,Sequential tightening can distribute force evenly.,"sequential tightening lug nuts demonstration video|tighten bolts in sequence force distribution|cross pattern tightening demo","Fixing an object before cutting or drilling reduces motion error.;Repeated small adjustments can stabilize a system better than one large adjustment.;Center of mass affects whether an object tips over.",May rely on narration; reject if no visual effect.
kp_proc_006,procedural_operational_principles,Pre-wetting can reduce absorption during later application.,"pre wetting sponge reduces absorption demo|pre wet surface absorption demonstration video|wetting before applying liquid video","Porous materials absorb liquid through internal spaces.;Capillary action can pull liquid through narrow gaps.;Evaporation can cool a surface.",Likely difficult to source.
kp_proc_007,procedural_operational_principles,Filtering separates solids from liquids by particle size.,"filtration separates sand water video|filter paper separates solid liquid demonstration|coffee filter separates particles video","Settling separates materials by density over time.;Layering fluids can demonstrate density differences.;Mixing ions that form an insoluble salt can produce a precipitate.",Need separation process visible.
kp_proc_008,procedural_operational_principles,Settling separates materials by density over time.,"sedimentation settling particles water video|muddy water settling time lapse|density settling separation demonstration","Filtering separates solids from liquids by particle size.;Layering fluids can demonstrate density differences.;Dissolved substances diffuse from high to low concentration.",Time-lapse acceptable.
kp_proc_009,procedural_operational_principles,Layering fluids can demonstrate density differences.,"density column liquids layering video|different density liquids layer demonstration|oil water syrup density column video","Buoyancy depends on displaced fluid and object density.;Settling separates materials by density over time.;Surface tension can support small objects or droplets.",Single frame may be enough; prefer pouring process.
kp_proc_010,procedural_operational_principles,Repeated small adjustments can stabilize a system better than one large adjustment.,"small adjustments stabilize balancing demo|iterative adjustment stabilization video|fine tuning balance demonstration","Sequential tightening can distribute force evenly.;Center of mass affects whether an object tips over.;Fixing an object before cutting or drilling reduces motion error.",May be abstract; use only if visual evidence clear.
kp_proc_011,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,"brazil nut effect demonstration video|granular segregation shaking video|particles separate by size shaking demonstration","Settling separates materials by density over time.;Layering fluids can demonstrate density differences.;Filtering separates solids from liquids by particle size.",Use only when temporal shaking/rearrangement is visible; single final state is insufficient.
