video_id,category,knowledge_point,answer,source_title,source_url,prior_review_decision,knowledge_point_seen_rank,risk_score,risk_flags,recommendation,notes
dynaknow_000017,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,C,Torsion-pendulum.ogv,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,reject_title_or_single_frame_shortcut,2,170,previously_rejected;title_names_phenomenon;static_equipment_shortcut_risk,exclude,Prior review decision: reject_title_or_single_frame_shortcut. Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames.
dynaknow_000019,chemistry_material_change,A solid can absorb heat and melt into a liquid.,A,Melting ice.theora.ogv,https://commons.wikimedia.org/wiki/File:Melting_ice.theora.ogv,,5,105,over_knowledge_point_cap;title_names_phenomenon,exclude,Knowledge point rank 5 exceeds cap 4. Source title contains a keyword for the target phenomenon.
dynaknow_000020,chemistry_material_change,A solid can absorb heat and melt into a liquid.,B,Ice cubes melting in a glass.ogv,https://commons.wikimedia.org/wiki/File:Ice_cubes_melting_in_a_glass.ogv,,6,105,over_knowledge_point_cap;title_names_phenomenon,exclude,Knowledge point rank 6 exceeds cap 4. Source title contains a keyword for the target phenomenon.
dynaknow_000021,chemistry_material_change,Combustion requires fuel and oxygen.,C,103. Горење железна во кислород.webm,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,,2,100,known_media_download_failure,exclude,Media download failed with current manifest URL.
dynaknow_000022,biology_life_processes,Some organisms move toward or away from light.,D,Oxalis Triangularis Photonasty Timelapse.ogv,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,needs_knowledge_point_revision,1,45,previously_needs_revision,revise_or_manual_review,Prior review decision: needs_knowledge_point_revision.
dynaknow_000023,biology_life_processes,Plant shoots can grow toward a light source.,A,Azuki Bean phototropism.ogv,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,,2,55,title_names_phenomenon,revise_or_manual_review,Source title contains a keyword for the target phenomenon.
dynaknow_000024,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,B,MagneticPendulum VariableFriction.ogv,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,reject_title_or_mechanism_confound,3,115,previously_rejected;auto_evidence_requires_review,exclude,Prior review decision: reject_title_or_mechanism_confound. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000025,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,C,Dynamikum Gekoppelte Pendel.ogv,https://commons.wikimedia.org/wiki/File:Dynamikum_Gekoppelte_Pendel.ogv,reject_single_frame_shortcut,4,170,previously_rejected;title_names_phenomenon;auto_evidence_requires_review,exclude,Prior review decision: reject_single_frame_shortcut. Source title contains a keyword for the target phenomenon. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000026,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,D,Double pendulum & spring1.ogv,https://commons.wikimedia.org/wiki/File:Double_pendulum_%26_spring1.ogv,,5,135,over_knowledge_point_cap;title_names_phenomenon;static_equipment_shortcut_risk;auto_evidence_requires_review,exclude,Knowledge point rank 5 exceeds cap 4. Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000027,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,20. Валтенхофеново правило.ogv,https://commons.wikimedia.org/wiki/File:20._%D0%92%D0%B0%D0%BB%D1%82%D0%B5%D0%BD%D1%85%D0%BE%D1%84%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BE.ogv,,6,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 6 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000028,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,B,Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,reject_specialist_title_leakage,1,205,previously_rejected;title_names_phenomenon;specialist_context_or_title;auto_evidence_requires_review,exclude,Prior review decision: reject_specialist_title_leakage. Source title contains a keyword for the target phenomenon. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000029,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,C,Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,reject_specialist_title_leakage,2,205,previously_rejected;title_names_phenomenon;specialist_context_or_title;auto_evidence_requires_review,exclude,Prior review decision: reject_specialist_title_leakage. Source title contains a keyword for the target phenomenon. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000030,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,D,Magnetotactic-molecular-architectures-from-self-assembly-of-β-peptide-foldamers-ncomms9747-s4.ogv,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s4.ogv,,3,105,title_names_phenomenon;specialist_context_or_title;auto_evidence_requires_review,exclude,Source title contains a keyword for the target phenomenon. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000031,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,A,Magnetotactic-molecular-architectures-from-self-assembly-of-β-peptide-foldamers-ncomms9747-s3.ogv,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,reject_specialist_title_leakage,4,205,previously_rejected;title_names_phenomenon;specialist_context_or_title;auto_evidence_requires_review,exclude,Prior review decision: reject_specialist_title_leakage. Source title contains a keyword for the target phenomenon. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000032,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,B,Magnetotactic-molecular-architectures-from-self-assembly-of-β-peptide-foldamers-ncomms9747-s2.ogv,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s2.ogv,,5,155,over_knowledge_point_cap;title_names_phenomenon;specialist_context_or_title;auto_evidence_requires_review,exclude,Knowledge point rank 5 exceeds cap 4. Source title contains a keyword for the target phenomenon. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000033,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,C,54. Магнетно поле на прав спроводник.ogg,https://commons.wikimedia.org/wiki/File:54._%D0%9C%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%BD%D0%BE_%D0%BF%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B0%D0%B2_%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA.ogg,,6,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 6 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000034,biology_life_processes,Seed germination involves root and shoot emergence.,D,"Carnivorous Plant Time Lapse (Drosera Capensis) ""eating"" a Fruit Fly.ogv",https://commons.wikimedia.org/wiki/File:Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,reject_wrong_knowledge_point,2,195,previously_rejected;auto_evidence_requires_review;plant_video_not_seed_germination,exclude,Prior review decision: reject_wrong_knowledge_point. Dynamic evidence was auto-filled and requires manual verification. Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000035,biology_life_processes,Seed germination involves root and shoot emergence.,A,Apex reorientation in Pinus pinaster during the first 24h after plant inclination - 1471-2229-10-217-S1.ogv,https://commons.wikimedia.org/wiki/File:Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,reject_wrong_knowledge_point,3,195,previously_rejected;auto_evidence_requires_review;plant_video_not_seed_germination,exclude,Prior review decision: reject_wrong_knowledge_point. Dynamic evidence was auto-filled and requires manual verification. Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000036,biology_life_processes,Seed germination involves root and shoot emergence.,B,365 days tree.ogv,https://commons.wikimedia.org/wiki/File:365_days_tree.ogv,reject_wrong_knowledge_point,4,195,previously_rejected;auto_evidence_requires_review;plant_video_not_seed_germination,exclude,Prior review decision: reject_wrong_knowledge_point. Dynamic evidence was auto-filled and requires manual verification. Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000037,biology_life_processes,Plant shoots can grow toward a light source.,C,Sunflower Flower Opening Time Lapse.ogv,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse.ogv,,3,95,auto_evidence_requires_review;plant_video_not_phototropism,revise_or_manual_review,Dynamic evidence was auto-filled and requires manual verification. Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000038,biology_life_processes,Plant shoots can grow toward a light source.,D,Sunflower Flower Opening Time Lapse 320x240.ogv,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,,4,95,auto_evidence_requires_review;plant_video_not_phototropism,revise_or_manual_review,Dynamic evidence was auto-filled and requires manual verification. Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000040,everyday_causal_mechanisms,Pressure differences can move fluids.,B,Kerzenflamme im plattenkondensator.ogv,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,,2,80,electric_field_flame_not_pressure_difference,revise_or_manual_review,Title strongly suggests the candidate was mapped to the wrong knowledge point.
dynaknow_000041,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,Cap 4.6 - Frequencia de engrenamento.ogv,https://commons.wikimedia.org/wiki/File:Cap_4.6_-_Frequencia_de_engrenamento.ogv,,7,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 7 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000042,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,B,Cap 4.5 - Componentes soltos bancada 4 - 2.ogv,https://commons.wikimedia.org/wiki/File:Cap_4.5_-_Componentes_soltos_bancada_4_-_2.ogv,,8,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 8 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000043,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,C,Cap 4.5 - Componentes soltos bancada 4 - 1.ogv,https://commons.wikimedia.org/wiki/File:Cap_4.5_-_Componentes_soltos_bancada_4_-_1.ogv,,9,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 9 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000044,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,D,Cap 4.3 - Desalinhamento angular de eixo na bancada 4.ogv,https://commons.wikimedia.org/wiki/File:Cap_4.3_-_Desalinhamento_angular_de_eixo_na_bancada_4.ogv,,10,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 10 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000045,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,Cap 2.1 - Demonstracao de medicao com Trigger.ogv,https://commons.wikimedia.org/wiki/File:Cap_2.1_-_Demonstracao_de_medicao_com_Trigger.ogv,,11,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 11 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000046,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,B,Cap 1.3 - Grafico de Orbita.ogv,https://commons.wikimedia.org/wiki/File:Cap_1.3_-_Grafico_de_Orbita.ogv,,12,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 12 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000049,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,A,Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,,2,50,specialist_context_or_title;auto_evidence_requires_review,revise_or_manual_review,Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000050,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,B,Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,,3,50,specialist_context_or_title;auto_evidence_requires_review,revise_or_manual_review,Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000051,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,C,Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,,4,50,specialist_context_or_title;auto_evidence_requires_review,revise_or_manual_review,Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000052,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,D,Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s004.ogv,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s004.ogv,,5,100,over_knowledge_point_cap;specialist_context_or_title;auto_evidence_requires_review,exclude,Knowledge point rank 5 exceeds cap 4. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000053,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,A,Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s003.ogv,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s003.ogv,,6,100,over_knowledge_point_cap;specialist_context_or_title;auto_evidence_requires_review,exclude,Knowledge point rank 6 exceeds cap 4. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000054,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,B,Ellipse Reflection.ogv,https://commons.wikimedia.org/wiki/File:Ellipse_Reflection.ogv,,7,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 7 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000055,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,C,Elastic-spheres-can-walk-on-water-ncomms10551-s3.ogv,https://commons.wikimedia.org/wiki/File:Elastic-spheres-can-walk-on-water-ncomms10551-s3.ogv,,8,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 8 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000056,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,D,Iron powder on magnetic stirrer 01 ies.webm,https://commons.wikimedia.org/wiki/File:Iron_powder_on_magnetic_stirrer_01_ies.webm,,7,120,over_knowledge_point_cap;title_names_phenomenon;static_equipment_shortcut_risk,exclude,Knowledge point rank 7 exceeds cap 4. Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames.
dynaknow_000058,chemistry_material_change,Some chemical reactions produce color change.,B,C3N2H4 anim.ogv,https://commons.wikimedia.org/wiki/File:C3N2H4_anim.ogv,,3,45,animation_or_simulation;auto_evidence_requires_review,revise_or_manual_review,Source title suggests animation/simulation rather than natural video evidence. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000059,chemistry_material_change,Some chemical reactions produce color change.,C,A-Versatile-Optical-Clearing-Protocol-for-Deep-Tissue-Imaging-of-Fluorescent-Proteins-in-pone.0161107.s005.ogv,https://commons.wikimedia.org/wiki/File:A-Versatile-Optical-Clearing-Protocol-for-Deep-Tissue-Imaging-of-Fluorescent-Proteins-in-pone.0161107.s005.ogv,,4,50,specialist_context_or_title;auto_evidence_requires_review,revise_or_manual_review,Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000060,chemistry_material_change,Some chemical reactions produce color change.,D,A-MultiSite-Gateway-Toolkit-for-Rapid-Cloning-of-Vertebrate-Expression-Constructs-with-Diverse-pone.0159277.s001.ogv,https://commons.wikimedia.org/wiki/File:A-MultiSite-Gateway-Toolkit-for-Rapid-Cloning-of-Vertebrate-Expression-Constructs-with-Diverse-pone.0159277.s001.ogv,,5,100,over_knowledge_point_cap;specialist_context_or_title;auto_evidence_requires_review,exclude,Knowledge point rank 5 exceeds cap 4. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000063,chemistry_material_change,Some chemical reactions produce color change.,C,Iodine Clock Reaction.ogv,https://commons.wikimedia.org/wiki/File:Iodine_Clock_Reaction.ogv,,6,50,over_knowledge_point_cap,revise_or_manual_review,Knowledge point rank 6 exceeds cap 4.
dynaknow_000064,biology_life_processes,Seed germination involves root and shoot emergence.,D,Eu esitö (video).ogv,https://commons.wikimedia.org/wiki/File:Eu_esit%C3%B6_(video).ogv,,5,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 5 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000065,biology_life_processes,Seed germination involves root and shoot emergence.,A,Electrostatic-Charge-on-Flying-Hummingbirds-and-Its-Potential-Role-in-Pollination-pone.0138003.s001.ogv,https://commons.wikimedia.org/wiki/File:Electrostatic-Charge-on-Flying-Hummingbirds-and-Its-Potential-Role-in-Pollination-pone.0138003.s001.ogv,,6,100,over_knowledge_point_cap;specialist_context_or_title;auto_evidence_requires_review,exclude,Knowledge point rank 6 exceeds cap 4. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000066,biology_life_processes,Seed germination involves root and shoot emergence.,B,Spring is creeping in.webm,https://commons.wikimedia.org/wiki/File:Spring_is_creeping_in.webm,,7,50,over_knowledge_point_cap,revise_or_manual_review,Knowledge point rank 7 exceeds cap 4.
dynaknow_000069,physics_mechanics,Collisions transfer momentum between objects.,A,Bezoek aan een dames biljart club-512468.ogv,https://commons.wikimedia.org/wiki/File:Bezoek_aan_een_dames_biljart_club-512468.ogv,,5,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 5 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000070,physics_mechanics,Collisions transfer momentum between objects.,B,Arie Bos Nederlands kampioen biljarten driebanden-524299.ogv,https://commons.wikimedia.org/wiki/File:Arie_Bos_Nederlands_kampioen_biljarten_driebanden-524299.ogv,,6,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 6 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000071,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,C,Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s009.ogv,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s009.ogv,,8,155,over_knowledge_point_cap;title_names_phenomenon;specialist_context_or_title;auto_evidence_requires_review,exclude,Knowledge point rank 8 exceeds cap 4. Source title contains a keyword for the target phenomenon. Source title suggests specialist context or paper-derived microscopy. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000072,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,D,Microgravity-simulation-by-diamagnetic-levitation-effects-of-a-strong-gradient-magnetic-field-on-1471-2164-13-52-S2.ogv,https://commons.wikimedia.org/wiki/File:Microgravity-simulation-by-diamagnetic-levitation-effects-of-a-strong-gradient-magnetic-field-on-1471-2164-13-52-S2.ogv,,9,165,over_knowledge_point_cap;title_names_phenomenon;static_equipment_shortcut_risk;animation_or_simulation;auto_evidence_requires_review,exclude,Knowledge point rank 9 exceeds cap 4. Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames. Source title suggests animation/simulation rather than natural video evidence. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000076,procedural_operational_principles,Filtering separates solids from liquids by particle size.,A,STEMonstrations- Water Filtration.webm,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Water_Filtration.webm,,4,70,title_names_phenomenon;static_equipment_shortcut_risk,revise_or_manual_review,Source title contains a keyword for the target phenomenon. Source title or object class may reveal the answer from static frames.
dynaknow_000077,physics_mechanics,Elastic materials restore shape after deformation.,B,Torsion spring animation.ogv,https://commons.wikimedia.org/wiki/File:Torsion_spring_animation.ogv,,1,85,title_names_phenomenon;animation_or_simulation,revise_or_manual_review,Source title contains a keyword for the target phenomenon. Source title suggests animation/simulation rather than natural video evidence.
dynaknow_000078,everyday_causal_mechanisms,Surface tension can support small objects or droplets.,C,STEMonstrations- Surface Tension.webm,https://commons.wikimedia.org/wiki/File:STEMonstrations-_Surface_Tension.webm,,1,55,title_names_phenomenon,revise_or_manual_review,Source title contains a keyword for the target phenomenon.
dynaknow_000079,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,D,Cap 4.2 - Ensaio de desbalanceamento.ogv,https://commons.wikimedia.org/wiki/File:Cap_4.2_-_Ensaio_de_desbalanceamento.ogv,,13,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 13 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
dynaknow_000080,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,Cap 1.3 - Demonstracao pontos de aquisicao.ogv,https://commons.wikimedia.org/wiki/File:Cap_1.3_-_Demonstracao_pontos_de_aquisicao.ogv,,14,65,over_knowledge_point_cap;auto_evidence_requires_review,revise_or_manual_review,Knowledge point rank 14 exceeds cap 4. Dynamic evidence was auto-filled and requires manual verification.
