principle_id,domain,subdomain,principle,required_dynamic_signature,acceptable_video_types,reject_conditions,query_seed,hard_negative_family,priority
PHY_FLU_003,physics_physical_systems,fluids_pressure_and_buoyancy,Pressure gradients drive siphon or liquid-column flow after priming.,Liquid continues moving through a tube across height differences with visible level changes.,siphon demonstrations; transparent tube flow,Reject source-only siphon claims where no flow path or level change is visible.,siphon pressure gradient flow video|transparent siphon liquid level video,capillary rise; pump-driven flow; diffusion,core
PHY_SUR_001,physics_physical_systems,surface_and_capillary_processes,"Surface tension minimizes liquid surface area, driving droplets to retract and round.","Elongated drops retract, oscillate, or relax toward rounder shapes.",droplet relaxation slow motion; liquid bridge relaxation,Reject still droplets or splash-only clips without relaxation dynamics.,surface tension droplet relaxation slow motion|liquid bridge surface tension retraction video,gravity fall; wetting spread; evaporation,core
PHY_SUR_002,physics_physical_systems,surface_and_capillary_processes,Capillary action draws wetting liquids through narrow pores or tubes.,"Liquid front rises or advances through a tube, paper, or porous medium.",capillary rise; paper wicking; porous media wetting,Reject non-porous droplet rolling or source-only capillary titles.,capillary action liquid rise time lapse|paper wicking capillary action video|capillary rise tube experiment,bulk pouring; diffusion only; surface beading,core
PHY_SUR_003,physics_physical_systems,surface_and_capillary_processes,Wetting transitions occur when adhesion overcomes nonwetting surface forces.,"Droplet contact angle decreases, spreads, or switches from rebound to wetting.",contact-angle videos; droplet impact wetting; coating tests,Reject clips showing a final wet surface without spreading over time.,contact angle wetting droplet spreading video|droplet impact transition rebound wetting slow motion,capillary rise; evaporation; precipitation,core
PHY_THR_001,physics_physical_systems,thermal_physical_response,Differential thermal expansion bends bonded materials when heated.,Composite strip or bonded structure curves as temperature changes.,bimetallic strip; thermal expansion demos,Reject heating clips without visible deformation or temperature-linked response.,bimetallic strip thermal expansion video|differential thermal expansion bending video,plastic deformation by force; pendulum; melting,core
PHY_THR_002,physics_physical_systems,thermal_physical_response,The Leidenfrost effect forms a vapor layer that delays contact boiling and lets droplets glide.,Droplet skitters or survives on a very hot surface while vapor supports it.,Leidenfrost droplet slow motion; hot plate demos,Reject ordinary boiling droplets without vapor-layer gliding.,Leidenfrost droplet skittering slow motion|Leidenfrost effect hot plate video,wetting spread; evaporation plume; capillary action,core
PHY_EM_001,physics_physical_systems,electromagnetism_and_fields,Magnetic dipoles experience torque that aligns them with an external magnetic field.,"Needles, particles, or domains rotate or align when field direction changes.",magnetic alignment particles; compass field demos; ferrofluid field videos,Reject clips with magnets touching objects directly without field-driven alignment.,magnetic field alignment particles video|magnetic dipole torque alignment video|ferrofluid magnetic field motion video,electric-field migration; gravity; fluid flow,core
PHY_EM_002,physics_physical_systems,electromagnetism_and_fields,"Electric fields exert forces on charged droplets or particles, driving migration or deformation.",Particles/droplets move along field lines or deform between electrodes.,electrophoresis videos; charged droplet electric field demos,Reject clips where electrodes are visible but no field-driven motion occurs.,electric field charged droplet motion video|electrophoresis particle migration video,magnetic alignment; diffusion; buoyancy,core
CHM_PHA_001,chemistry_materials_change,phase_change_and_crystallization,Supersaturation enables nucleation followed by crystal growth.,Crystal nuclei appear and faces/fronts expand through solution.,supersaturated solution crystallization; sodium acetate hand warmer; crystal garden videos,Reject static crystals or source-only crystallization titles.,supersaturated solution crystallization time lapse|crystal nucleation growth video|sodium acetate crystallization video,precipitation cloud; dye diffusion; melting only,core
CHM_PHA_002,chemistry_materials_change,phase_change_and_crystallization,Solidification fronts propagate as liquid changes phase into ordered solid.,A visible solid-liquid boundary advances or dendrites grow.,freezing water; metal solidification; ice crystal growth,Reject final frozen samples without front propagation.,solidification front time lapse|ice crystal growth time lapse|freezing front propagation video,precipitation; evaporation; gas evolution,core
CHM_RED_001,chemistry_materials_change,redox_and_endpoint_reactions,Iodine-clock kinetics delay starch-iodine color until reductant is depleted.,"A mixture remains light, then abruptly turns dark after a delay.",iodine clock reaction videos,Reject generic color changes without delayed endpoint.,iodine clock reaction color change video|iodine clock delayed endpoint video,precipitation; acid base indicator; diffusion,core
CHM_RED_002,chemistry_materials_change,redox_and_endpoint_reactions,Reducing sugars reduce copper(II) to copper(I) oxide during Benedict heating.,Blue reagent changes toward orange-red and precipitate forms during heating.,Benedict test videos; reducing sugar demos,Reject if only final tube colors are shown or source text supplies all chemistry.,Benedict test reducing sugar precipitate video|Benedict reagent color change heating video,iodine clock; pH indicator; simple dye mixing,core
CHM_RED_003,chemistry_materials_change,redox_and_endpoint_reactions,Redox indicator systems can cycle between colored oxidation states.,Shaking/resting or reagent changes produce reversible color transitions.,chemical traffic light; blue bottle; chameleon reaction,Reject one-way color changes without redox-cycle evidence.,chemical traffic light reaction color cycle video|blue bottle reaction reversible color video|chemical chameleon reaction video,precipitation; crystallization; combustion,core
CHM_PRE_001,chemistry_materials_change,precipitation_and_solubility,Ion mixing can exceed solubility product and produce an insoluble solid.,Solutions become cloudy or solid particles appear after mixing.,precipitation reaction demos; silver chloride; barium sulfate; lead iodide,Reject if the solid is already present before mixing or the identity is only in source text.,precipitation reaction insoluble solid forming video|silver chloride precipitate video|lead iodide precipitation video,gas bubbles; dye diffusion; crystallization front,core
CHM_PRE_002,chemistry_materials_change,precipitation_and_solubility,Local supersaturation at a reaction interface creates precipitate bands or membranes.,"Solid appears where two liquids meet, often as rings, tubes, or membranes.",chemical garden; Liesegang rings; diffusion precipitation,Reject bulk turbidity without visible interface or local formation.,diffusion precipitation band reaction video|chemical garden precipitation tube growth video|Liesegang ring precipitation time lapse,homogeneous crystallization; pH color; gas evolution,core
CHM_GAS_001,chemistry_materials_change,gas_evolution_and_combustion,Gas-evolution reactions generate bubbles as products leave solution.,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",acid carbonate; metal acid hydrogen; decomposition gas,Reject ordinary boiling or pre-existing bubbles.,gas evolution reaction bubbles video|acid carbonate reaction bubbles video|hydrogen gas evolution reaction video,boiling; precipitation; diffusion,core
CHM_GAS_002,chemistry_materials_change,gas_evolution_and_combustion,"Combustion requires fuel, oxidizer, and heat; removing one extinguishes flame.","Flame appears, propagates, or extinguishes after oxygen/fuel/temperature changes.",flame extinction; combustion demos; hydrogen ignition,Reject clips that only show a flame without causal change.,flame extinction oxygen deprivation video|combustion reaction ignition video|hydrogen gas ignition bubbles video,redox color; evaporation; glow without flame,core
CHM_DIF_001,chemistry_materials_change,diffusion_mixing_and_transport,Concentration gradients drive molecular diffusion and spreading.,Dye or solute front broadens from high concentration to low concentration.,dye diffusion; gel diffusion; microfluidic diffusion,Reject turbulent stirring when diffusion cannot be separated.,dye diffusion concentration gradient time lapse|diffusion in water dye time lapse|microfluidic diffusion video,vortex mixing; precipitation; convection,core
CHM_DIF_002,chemistry_materials_change,diffusion_mixing_and_transport,"Laminar shear stretches and folds fluids, increasing interface without turbulence.",Colored bands elongate into thin layers and may reverse under reversed shear.,Taylor-Couette; reversible laminar mixing; viscous mixing demos,Reject fully turbulent mixing or simple shaking.,laminar mixing stretching folding dye video|reversible laminar mixing video|Taylor Couette mixing dye video,diffusion only; vortex turbulence; precipitation,core
CHM_MAT_001,chemistry_materials_change,material_deformation_and_response,Shear-thickening suspensions resist rapid stress while flowing under slow stress.,Material behaves liquid under slow motion but solid-like under impact.,cornstarch oobleck impact; shear thickening demos,Reject generic thick liquids without rate-dependent contrast.,shear thickening cornstarch impact slow motion|oobleck impact resistance video,gelation; plastic deformation; surface tension,core
CHM_MAT_002,chemistry_materials_change,material_deformation_and_response,"Heating can soften or melt material, reducing strength and enabling deformation.","Material deforms, sags, flows, or breaks as temperature increases.",polymer softening; metal melting; glass softening,Reject post-heating final shape without thermal sequence.,heat softening material deformation video|polymer melting deformation time lapse|glass softening heat shaping video,mechanical cutting; crystallization; combustion,core
BIO_CELL_001,biology_living_systems,germination_and_development,Mitotic spindle dynamics separate chromosomes into daughter cells.,Chromosomes align at the metaphase plate and move toward opposite poles.,live-cell mitosis microscopy; chromosome segregation,Reject static mitosis-stage diagrams and clips without chromosome movement.,mitosis chromosome segregation time lapse microscopy|live cell mitosis spindle chromosome video,cytokinesis only; cell migration; diffusion,core
BIO_CELL_002,biology_living_systems,germination_and_development,Cytokinesis completes division through progressive contractile-ring constriction.,A cleavage furrow deepens until one cell becomes two.,cytokinesis live-cell imaging; contractile ring videos,Reject static two-cell images or pure animation without real dynamics.,cytokinesis contractile ring time lapse|cell cleavage furrow live imaging,mitosis chromosome motion; apoptosis; cell migration,core
BIO_CELL_003,biology_living_systems,organism_behavior_and_taxis,Actin polymerization and adhesion cycles drive crawling cell migration.,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",immune cell migration; amoeboid motion; wound-healing migration,Reject random cell shape changes without net displacement.,cell migration pseudopod actin time lapse|amoeboid cell migration time lapse|immune cell crawling microscopy,Brownian motion; ciliary swimming; mitosis,core
BIO_TRA_001,biology_living_systems,plant_water_relations_and_turgor,"Osmosis changes plant-cell volume, causing plasmolysis and deplasmolysis.",Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,onion plasmolysis microscopy; Elodea plasmolysis,Reject single final plasmolyzed images or label-only school videos.,plasmolysis deplasmolysis time lapse microscopy|onion cell plasmolysis video|Elodea plasmolysis time lapse,cytoplasmic streaming; stomata; diffusion in water,core
BIO_TRA_002,biology_living_systems,plant_water_relations_and_turgor,Guard-cell turgor changes open and close stomatal pores.,Stomatal aperture increases or decreases as guard cells change shape.,stomata opening time lapse; guard cell turgor videos,Reject static stomata views or graphs without visible pore change.,stomata opening closing guard cell turgor time lapse|stomatal aperture time lapse microscopy,phototropism; plasmolysis; leaf folding,core
BIO_TRA_003,biology_living_systems,plant_water_relations_and_turgor,Cytoplasmic streaming moves organelles along cytoskeletal tracks inside plant cells.,Chloroplasts or granules circulate along cell boundaries or strands.,Elodea cytoplasmic streaming; chloroplast movement microscopy,Reject if movement is only camera drift or Brownian jitter.,Elodea cytoplasmic streaming chloroplast movement video|cytoplasmic streaming plant cell microscopy,plasmolysis; diffusion; mitosis,core
BIO_ENE_001,biology_living_systems,plant_growth_and_tropisms,Photosynthetic light reactions release oxygen when illuminated.,Oxygen bubbles increase after light exposure or light intensity changes.,aquatic plant oxygen bubbles; photosynthesis light intensity demos,Reject generic plant growth videos or final gas collection only.,photosynthesis oxygen bubbles light intensity video|Elodea photosynthesis oxygen bubble video|photosynthesis rate bubbles light video,respiration CO2; boiling; gas evolution chemistry,core
BIO_ENE_002,biology_living_systems,germination_and_development,Cellular respiration consumes oxygen and releases carbon dioxide during metabolism.,CO2 indicator or sensor changes over time due to living tissue or microbes.,respiration indicator experiments; yeast respiration CO2,Reject simple fermentation foam unless respiration mechanism and control are visible.,cellular respiration CO2 indicator color change video|yeast respiration CO2 indicator video|seed respiration carbon dioxide indicator video,photosynthesis oxygen; acid-base demo; combustion,core
BIO_DEV_001,biology_living_systems,germination_and_development,Embryogenesis proceeds through repeated cell divisions and coordinated cell migration.,"Cleavage, gastrulation, or tissue formation is visible over time.",zebrafish embryo time lapse; C elegans embryo development; frog embryo,Reject final embryo stage slides or pure text overlays.,zebrafish embryo development time lapse|embryogenesis cell division migration time lapse|C elegans embryo development time lapse,plant germination; cell migration only; mitosis isolated,core
BIO_DEV_002,biology_living_systems,germination_and_development,Seed germination starts with water uptake and radicle emergence before shoot development.,"Seed swells, radicle emerges, shoot later elongates.",seed germination time lapse; bean radicle emergence,Reject generic seedling growth after germination if radicle emergence is absent.,seed germination radicle emergence time lapse|bean germination root shoot time lapse,phototropism; leaf unfurling; fungal growth,core
BIO_TRO_001,biology_living_systems,plant_growth_and_tropisms,Phototropism bends shoots through differential growth toward directional light.,Shoot curvature gradually changes toward a visible or known light source.,phototropism time lapse; directional light plant growth,Reject normal vertical growth without directional stimulus.,phototropism plant shoot bending time lapse|plant growing toward light time lapse,circumnutation; germination; stomata,core
BIO_TRO_002,biology_living_systems,plant_growth_and_tropisms,Gravitropism redirects root or shoot growth relative to gravity after reorientation.,Root tip curves downward or shoot curves upward after rotation.,root gravitropism time lapse; shoot gravitropism,Reject clips without reorientation or gravity-relative change.,root gravitropism time lapse|plant gravitropism reorientation video|shoot gravitropism time lapse,phototropism; hydrotropism; circumnutation,core
BIO_TRO_003,biology_living_systems,plant_growth_and_tropisms,Hydrotropism biases root growth toward water gradients.,Root curvature changes toward wetter side over hours or days.,root hydrotropism time lapse; water gradient root growth,Reject source-only hydrotropism setups without root curvature.,root hydrotropism water gradient time lapse|plant root growing toward water video,gravitropism; halotropism; germination,core
BIO_NAS_001,biology_living_systems,plant_nastic_movements,Thigmonasty converts touch stimulation into rapid leaf or trap movement.,Touch is followed by rapid closure or bending independent of stimulus direction.,Mimosa folding; Venus flytrap closure; Drosera tentacle movement,Reject closed-only/open-only frames or clips where touch is not visible.,thigmonasty plant movement touch time lapse|Mimosa leaf folding touch video|Venus flytrap closure trigger hair video,thigmotropism; phototropism; wilting,core
BIO_NAS_002,biology_living_systems,plant_nastic_movements,Nyctinasty changes leaf posture across light-dark cycles via turgor or growth rhythms.,Leaves open/close or change angle over day-night transitions.,Oxalis leaf sleep; bean leaf nyctinasty; circadian plant movement,Reject generic wind movement or one-state leaf images.,nyctinasty leaf movement time lapse|Oxalis leaf sleep movement video|circadian plant leaf movement time lapse,phototropism; wilting; touch response,core
BIO_LOC_001,biology_living_systems,animal_locomotion_and_biomechanics,Jet propulsion follows momentum conservation: expelled fluid creates opposite reaction thrust.,"Body cavity or bell contracts, then the body translates in the opposite direction of expelled fluid.",jellyfish propulsion; squid jet propulsion; scallop jet movement,Reject swimming clips without contraction-pulse displacement.,jellyfish jet propulsion bell contraction video|fluid jet propulsion animal locomotion video,peristalsis; flapping lift; tail undulation,core
BIO_LOC_002,biology_living_systems,animal_locomotion_and_biomechanics,Peristaltic locomotion uses contraction waves plus alternating anchors to move soft bodies.,Soft body shortens/extends in waves while contact points shift and the body advances.,caterpillar crawling; earthworm peristalsis; soft robot peristalsis,Reject legged walking where no contraction wave is visible.,peristaltic locomotion caterpillar time lapse|earthworm peristaltic crawling video|soft body contraction wave locomotion,jet propulsion; tripod gait; passive drift,core
BIO_LOC_003,biology_living_systems,animal_locomotion_and_biomechanics,Flapping wings generate lift and thrust by accelerating air downward/backward.,Wingbeats begin or intensify before lift-off or sustained flight.,insect takeoff slow motion; bird flapping lift; bee takeoff,Reject gliding or leg-only jumps with passive wings.,flapping wing takeoff lift slow motion|insect takeoff wingbeats slow motion|bee takeoff slow motion lift,leg jump; passive gliding; swimming,core
BIO_LOC_004,biology_living_systems,animal_locomotion_and_biomechanics,Fast-start swimming converts body curvature into hydrodynamic reaction forces and acceleration.,S- or C-shaped bend is followed by rapid forward acceleration.,zebrafish fast start; fish escape response; larval strike,Reject clips where swimming is slow cruising without rapid curvature-acceleration sequence.,fish fast start S bend swimming video|zebrafish escape response slow motion|larval fish predatory strike video,phototaxis; peristalsis; passive drift,core
BIO_TAX_001,biology_living_systems,organism_behavior_and_taxis,Chemotaxis biases movement direction along chemical concentration gradients.,Trajectories accumulate toward/away from a chemical source or gradient.,bacterial chemotaxis; neutrophil chemotaxis; microfluidic gradient,Reject random wandering without gradient cue.,chemotaxis cell migration gradient time lapse|bacterial chemotaxis microfluidic gradient video|neutrophil chemotaxis time lapse,phototaxis; Brownian motion; thermotaxis,core
BIO_TAX_002,biology_living_systems,organism_behavior_and_taxis,Phototaxis biases movement relative to light direction or intensity.,Organisms redistribute toward/away from a light source or stimulus marker.,Euglena phototaxis; insect light trap; larval phototaxis,Reject clips with a lamp but no moving organisms or no directional redistribution.,phototaxis microorganism light stimulus video|Euglena phototaxis video|insect phototaxis light source video,phototropism; random walk; chemotaxis,core
BIO_TAX_003,biology_living_systems,organism_behavior_and_taxis,Magnetotaxis aligns motile cells with a magnetic field through magnetic torque.,Cell bands or trajectories reorganize when magnetic field direction changes.,magnetotactic bacteria; magnetic field swimming; field reversal,Reject source-only magnetotaxis where field marker or movement bias is absent.,magnetotactic bacteria magnetic field direction video|magnetotaxis field reversal microscopy video,chemotaxis; phototaxis; Brownian motion,core
BIO_TAX_004,biology_living_systems,organism_behavior_and_taxis,Run-and-tumble or Levy-like search alternates runs and turns to explore space.,Tracked trajectories show long runs interrupted by reorientation turns.,bacterial run and tumble; Levy walk microbes; trajectory overlay,Reject smooth swimming or untracked crowd motion.,bacteria run and tumble trajectory video|Levy walk bacteria tracking video|intermittent search trajectory time lapse,diffusion; taxis gradient; ciliary beating,core
EAR_WEA_001,earth_environmental_systems,weather_and_atmospheric_dynamics,"Moist convection lifts air, cools it, and forms growing cloud towers.","Clouds initiate, rise, billow, and deepen vertically.",cloud convection time lapse; cumulus growth; thunderstorm tower,Reject scenic clouds drifting with no growth or vertical development.,cloud formation convection time lapse|cumulus cloud tower growth time lapse|atmospheric convection cloud video,fog advection; smoke plume; rain band,core
EAR_WEA_002,earth_environmental_systems,weather_and_atmospheric_dynamics,Rotating atmospheric flow organizes clouds and precipitation into vortices.,Cloud bands rotate around a center or funnel-like structure develops.,cyclone satellite timelapse; tornado cloud rotation; mesocyclone,Reject static satellite images or non-rotating cloud drift.,cloud vortex rotation time lapse|cyclone cloud bands rotation video|tornado formation cloud rotation video,linear front motion; river flow; smoke,core
EAR_HYD_001,earth_environmental_systems,hydrology_and_flow_processes,Gravity and hydraulic slope drive surface runoff and channelized flow.,"Water gathers, accelerates downslope, and forms rills or channels.",runoff flume; rainfall simulator; slope flow,Reject standing water or generic rain without flow paths.,surface runoff slope erosion experiment video|rainfall runoff flume video|water flowing downslope channel formation video,capillary absorption; seepage only; wave motion,core
EAR_HYD_002,earth_environmental_systems,hydrology_and_flow_processes,Infiltration advances a wetting front through porous soil.,Water level drops and a visible wetting boundary moves downward or laterally.,soil infiltration; wetting front; porous media water flow,Reject top-surface wetting without internal front movement.,soil infiltration wetting front time lapse|porous soil water infiltration video,surface runoff; capillary tube; sediment transport,core
EAR_ERO_001,earth_environmental_systems,erosion_transport_and_deposition,Sediment motion begins when fluid shear stress exceeds a transport threshold.,"Grains transition from rest to rolling, saltation, or suspension as flow increases.",sediment transport flume; threshold of motion; bedload,Reject sediment already moving without flow change or threshold evidence.,sediment transport threshold flume video|bedload motion start flume experiment|grain entrainment by water flow video,debris flow; diffusion; landslide,core
EAR_ERO_002,earth_environmental_systems,erosion_transport_and_deposition,Deposition and sorting occur because particle settling speed depends on size and density.,Particles separate spatially or layers form as flow slows.,sediment sorting flume; settling column; delta deposition,Reject final sorted samples without movement/deposition sequence.,sediment sorting flume experiment video|particle settling sorting time lapse|delta deposition flume video,filtration; granular vibration; chemical precipitation,core
EAR_GEO_001,earth_environmental_systems,geology_and_geophysical_change,Slope failure occurs when driving stress exceeds material shear strength.,"Cracks, deformation, and mass movement develop downslope.",landslide model; slope failure flume; soil collapse,Reject post-landslide aftermath without failure sequence.,landslide failure slope model video|slope instability landslide experiment video|soil slope collapse time lapse,debris flow transport; erosion; glacier calving,core
EAR_GEO_002,earth_environmental_systems,geology_and_geophysical_change,Pyroclastic density currents move as ground-hugging particle-laden gravity currents.,Dense current advances along the ground with a leading front and suspended particles.,pyroclastic flow analog; density current flume; volcanic ash current,Reject smoke plumes rising vertically without ground-hugging current.,pyroclastic density current experiment video|pyroclastic flow analogue flume video|particle laden gravity current video,lava flow; debris slide; steam convection,core
EAR_GEO_003,earth_environmental_systems,geology_and_geophysical_change,Lava flow forms a cooling crust while molten interior continues advancing.,"Surface crust wrinkles, breaks, or folds as the flow front moves.",lava flow time lapse; pahoehoe crust; molten lava front,Reject static lava images or glow-only clips.,lava flow crust folding time lapse|pahoehoe lava flow time lapse|molten lava flow front video,pyroclastic current; mudflow; glacier,core
EAR_CRY_001,earth_environmental_systems,cryosphere_and_seasonal_change,Glacier flow results from ice deformation and basal sliding.,"Ice features, crevasses, or markers move over time.",glacier flow time lapse; ice motion markers,Reject glacier scenery without measurable motion.,glacier flow time lapse|ice deformation glacier motion video|glacier movement markers time lapse,river flow; avalanche; calving only,core
EAR_CRY_002,earth_environmental_systems,cryosphere_and_seasonal_change,Glacier calving occurs when fractures propagate and unsupported ice detaches.,Cracks widen and a block breaks from the glacier front into water.,glacier calving slow motion; ice front fracture,Reject clips that only show floating ice after detachment.,glacier calving slow motion|iceberg calving fracture video|glacier front collapse video,landslide; freeze-thaw; wave breaking,core
EAR_ECO_001,earth_environmental_systems,ecosystem_interactions,"Predation is a dynamic interaction of pursuit, attack, and prey response.","Predator approaches, accelerates or strikes, prey escapes or is captured.",predator prey high speed; hunting behavior; strike capture,Reject simple co-presence of organisms without interaction sequence.,predator prey interaction high speed video|predator strike capture slow motion|hunting behavior prey escape video,pollination; taxis; passive movement,core
EAR_ECO_002,earth_environmental_systems,ecosystem_interactions,Animal-mediated pollination transfers pollen through contact with reproductive structures.,Visitor contacts anthers/stigma and then moves away or to another flower.,pollination slow motion; bee flower contact; hummingbird pollination,Reject flower visitor videos without contact to reproductive parts.,pollination insect flower contact slow motion|bee pollination anther stigma contact video|flower visitor pollen transfer video,feeding only; phototaxis; wind,core
ENG_MCH_001,engineered_systems_and_operations,machines_control_and_failure_modes,Linkage constraints convert input rotation into a designed output path.,"Input crank rotates while output point follows a bounded, straight, oscillating, or pick-and-place trajectory.",four-bar linkage; crank-rocker; straight-line linkage,Reject pure physics pendulums or animations without input-output transformation.,four bar linkage motion conversion video|crank rocker linkage output path video|straight line linkage mechanism video,gear train; cam follower; free rotation,core
ENG_MCH_002,engineered_systems_and_operations,machines_control_and_failure_modes,Cam profiles convert continuous rotation into programmed follower displacement.,"Rotating cam makes a follower rise, dwell, and fall.",cam follower mechanism; valve train; cam dwell,Reject rotating disks without follower contact.,cam follower mechanism slow motion|cam profile follower rise dwell fall video|valve cam mechanism animation,linkage; gear ratio; pendulum,core
ENG_MCH_003,engineered_systems_and_operations,machines_control_and_failure_modes,Escapements discretize energy release into stepwise gear advance.,Oscillator motion locks/unlocks teeth and gear advances one step at a time.,clock escapement; anchor escapement; watch escapement,Reject clock face videos with no visible escapement action.,clock escapement mechanism slow motion|anchor escapement gear step video|watch escapement slow motion,gear train; ratchet; pendulum only,core
ENG_MCH_004,engineered_systems_and_operations,machines_control_and_failure_modes,Ratchets allow intermittent one-way motion while blocking reverse motion.,Pawl engages teeth during one direction and slips/resets in the other.,ratchet mechanism; pawl; one-way drive,Reject tools using ratchets without visible pawl-tooth sequence.,ratchet mechanism one way motion video|pawl ratchet intermittent motion slow motion,escapement; gear train; clutch,core
ENG_PRS_001,engineered_systems_and_operations,pressure_flow_and_process_control,Valves regulate flow by changing flow area and pressure drop.,"Valve position changes are followed by flow-rate, jet, or level changes.",transparent valve flow; flow control valve; ball valve,Reject static valve cutaways without fluid response.,valve flow control transparent video|flow control valve pressure drop video|transparent ball valve water flow,Venturi physics only; pump; siphon,core
ENG_PRS_002,engineered_systems_and_operations,pressure_flow_and_process_control,Pumps use cyclic volume or pressure changes to impose one-way fluid transport.,"Piston, diaphragm, peristaltic rollers, or impeller motion drives visible one-way flow.",peristaltic pump; diaphragm pump; piston pump visualization,Reject source-only pump videos without visible fluid movement.,peristaltic pump flow visualization video|diaphragm pump transparent flow video|piston pump one way valve video,siphon; capillary action; open-channel flow,core
ENG_PRS_003,engineered_systems_and_operations,pressure_flow_and_process_control,Feedback control reduces deviation by sensing a variable and actuating a correction.,A disturbance or setpoint change is followed by actuator response and variable stabilization.,level control; PID valve; thermostat control demos,Reject manually adjusted controls without closed-loop response.,feedback control valve level system video|PID level control tank video|closed loop process control demonstration,open-loop valve; pressure relief; natural flow,core
ENG_SEP_001,engineered_systems_and_operations,filtration_and_separation,Pressure-driven filtration separates solids by forcing fluid through porous media.,Filtrate passes through while a solid cake accumulates upstream.,vacuum filtration; filter cake formation; membrane filtration,Reject final filtered beakers without cake formation or fluid passage.,vacuum filtration filter cake formation video|pressure filtration porous media video|membrane filtration particle retention video,sedimentation; sieving; diffusion,core
