video_id,split_status,category,knowledge_point,answer,source_url,local_media,first_frame,middle_frame,last_frame,sparse_sheet,shortcut_decision,single_frame_sufficient,sparse_frames_sufficient,review_notes
dynaknow_000008,rejected_or_revise,everyday_causal_mechanisms,Pressure differences can move fluids.,A,https://commons.wikimedia.org/wiki/File:Water_candle_experiment.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000008.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000008/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000008/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000008/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000008_sparse.jpg,needs_mechanism_revision,no,yes,"Water rises after the candle is covered, but pressure-difference wording may require background explanation not fully isolated visually."
dynaknow_000009,rejected_or_revise,procedural_operational_principles,Filtering separates solids from liquids by particle size.,A,https://commons.wikimedia.org/wiki/File:Vacuum_pump_filter_pour_sample_and_turn_on.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000009.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000009/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000009/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000009/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000009_sparse.jpg,needs_visual_segment_selection,maybe,yes,Filtration setup is visible but the contact sheet does not strongly show retained particles versus passed liquid; needs a tighter segment or different candidate.
dynaknow_000011,rejected_or_revise,chemistry_material_change,A solid can absorb heat and melt into a liquid.,A,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000011.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000011/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000011/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000011/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000011_sparse.jpg,needs_full_video_review,uncertain,yes,"Sparse frames show texture/crystal-like change but do not clearly establish melting; source title is generic, so full video review is needed before keeping."
dynaknow_000012,rejected_or_revise,chemistry_material_change,A solid can absorb heat and melt into a liquid.,B,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000012.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000012/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000012/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000012/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000012_sparse.jpg,needs_static_shortcut_review,maybe,yes,"Sparse frames clearly show ice changing toward liquid; a single late frame may also suggest melting, so hard negatives and single-frame sufficiency need review."
dynaknow_000014,rejected_or_revise,procedural_operational_principles,Filtering separates solids from liquids by particle size.,D,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000014.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000014/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000014/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000014/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000014_sparse.jpg,reject_static_equipment_or_title_leak,yes,yes,Source title and static equipment strongly indicate filtration/backwashing; current frames do not isolate particle-size separation as visual temporal evidence.
dynaknow_000017,rejected_or_revise,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,C,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000017.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000017/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000017/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000017/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000017_sparse.jpg,reject_title_or_single_frame_shortcut,yes,yes,"Source title states torsion pendulum and still frames show a pendulum apparatus, making the pendulum knowledge point too easy without full video."
dynaknow_000022,rejected_or_revise,biology_life_processes,Some organisms move toward or away from light.,D,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000022.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000022/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000022/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000022/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000022_sparse.jpg,needs_knowledge_point_revision,maybe,yes,"Frames show Oxalis leaves changing state, but the current option says organisms move toward/away from light; photonasty/open-close response is more precise."
dynaknow_000024,rejected_or_revise,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,B,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000024.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000024/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000024/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000024/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000024_sparse.jpg,reject_title_or_mechanism_confound,uncertain,yes,"Source title leaks magnetic pendulum, and the colorful trajectory suggests a magnetic/friction system rather than clean pendulum energy exchange."
dynaknow_000025,rejected_or_revise,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,C,https://commons.wikimedia.org/wiki/File:Dynamikum_Gekoppelte_Pendel.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000025.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000025/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000025/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000025/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000025_sparse.jpg,reject_single_frame_shortcut,yes,yes,"Still frames reveal a coupled pendulum apparatus, making the pendulum answer likely even without observing full motion."
dynaknow_000028,rejected_or_revise,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,B,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000028.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000028/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000028/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000028/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000028_sparse.jpg,reject_specialist_title_leakage,uncertain,yes,Microscopy/source title references nanoparticle magneto-rotation; the item needs specialist context and title leaks the magnetic mechanism.
dynaknow_000029,rejected_or_revise,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,C,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000029.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000029/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000029/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000029/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000029_sparse.jpg,reject_specialist_title_leakage,uncertain,yes,Microscopy/source title references nanoparticle magneto-rotation; visual evidence alone is not suitable for basic dynamic knowledge recognition.
dynaknow_000031,rejected_or_revise,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,A,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000031.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000031/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000031/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000031/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000031_sparse.jpg,reject_specialist_title_leakage,uncertain,yes,"Magnetotactic/molecular source title leaks the mechanism, and the microscopic visual requires specialist knowledge."
dynaknow_000034,rejected_or_revise,biology_life_processes,Seed germination involves root and shoot emergence.,D,https://commons.wikimedia.org/wiki/File:Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000034.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000034/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000034/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000034/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000034_sparse.jpg,reject_wrong_knowledge_point,yes,yes,"Source and frames show a carnivorous plant/fly interaction, not seed germination with root and shoot emergence."
dynaknow_000035,rejected_or_revise,biology_life_processes,Seed germination involves root and shoot emergence.,A,https://commons.wikimedia.org/wiki/File:Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000035.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000035/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000035/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000035/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000035_sparse.jpg,reject_wrong_knowledge_point,yes,yes,"Frames show plant apex reorientation after inclination, not seed germination."
dynaknow_000036,rejected_or_revise,biology_life_processes,Seed germination involves root and shoot emergence.,B,https://commons.wikimedia.org/wiki/File:365_days_tree.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000036.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000036/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000036/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000036/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000036_sparse.jpg,reject_wrong_knowledge_point,yes,yes,"Frames show seasonal/tree canopy change, not seed germination."
dynaknow_000057,rejected_or_revise,chemistry_material_change,Some chemical reactions produce color change.,A,https://commons.wikimedia.org/wiki/File:Cat.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000057.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000057/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000057/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000057/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000057_sparse.jpg,reject_animation_not_video_knowledge,yes,yes,"This is a chemical structure animation, not a natural video process. It does not satisfy the visual dynamic-video knowledge requirement."
dynaknow_000061,rejected_or_revise,chemistry_material_change,Combustion requires fuel and oxygen.,A,https://commons.wikimedia.org/wiki/File:Corona.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000061.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000061/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000061/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000061/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000061_sparse.jpg,needs_mechanism_revision,maybe,yes,"Candle/flame dynamics are visible, but the current knowledge point requires oxygen and is not visually isolated without background inference."
dynaknow_000062,rejected_or_revise,chemistry_material_change,Combustion requires fuel and oxygen.,B,https://commons.wikimedia.org/wiki/File:CandleGettingBlownOut.ogv,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000062.ogv,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000062/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000062/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000062/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000062_sparse.jpg,needs_mechanism_revision,maybe,yes,"Candle is blown out, but the oxygen requirement is not directly established; needs a more precise knowledge point or different demonstration."
dynaknow_000081,rejected_or_revise,procedural_operational_principles,Settling separates materials by density over time.,A,https://commons.wikimedia.org/wiki/File:Brazil_nut_effect_demonstration.webm,/root/public/jasonshu/dynaknow_video/media/raw/dynaknow_000081.webm,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000081/first.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000081/middle.jpg,/root/public/jasonshu/dynaknow_video/media/frames/dynaknow_000081/last.jpg,/root/public/jasonshu/dynaknow_video/media/contact_sheets/sparse/dynaknow_000081_sparse.jpg,needs_knowledge_point_revision,maybe,yes,The video shows Brazil-nut/granular segregation after shaking. The current knowledge point about density-based settling is not precise; needs a granular size-segregation knowledge point or taxonomy extension.
