video_id,source_url,direct_url,media_ok,duration_sec,category,knowledge_point,question,choice_A,choice_B,choice_C,choice_D,answer,dynamic_evidence,static_insufficient_reason,video_available,dynamic_process_visible,knowledge_point_supported,answer_only_leakage,single_frame_sufficient,sparse_frames_sufficient,title_or_subtitle_leakage,review_decision,reviewer_notes,balance_rank,selection_reason
dynaknow_000011,https://commons.wikimedia.org/wiki/File:Timelapse-crystal.ogv,https://upload.wikimedia.org/wikipedia/commons/c/c7/Timelapse-crystal.ogv,,17.1,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A solid can absorb heat and melt into a liquid.,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,A,0.0-17.1: Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,11,selected_for_balanced_first_pass_review
dynaknow_000012,https://commons.wikimedia.org/wiki/File:Time-Lapse.ogv,https://upload.wikimedia.org/wikipedia/commons/c/ca/Time-Lapse.ogv,,26.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A liquid can evaporate when heated or exposed to airflow.,A solid can absorb heat and melt into a liquid.,Cooling can cause liquid to solidify.,A gas can condense into liquid droplets on a cold surface.,B,0.0-26.0: Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,12,selected_for_balanced_first_pass_review
dynaknow_000013,https://commons.wikimedia.org/wiki/File:Satellite_measurements_of_Greenland%27s_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,https://upload.wikimedia.org/wikipedia/commons/f/f7/Satellite_measurements_of_Greenland's_ice_cover_from_1979_to_2009_reveals_a_trend_of_increased_melting.ogv,,33.4,chemistry_material_change,A solid can absorb heat and melt into a liquid.,Which knowledge point is best demonstrated by the dynamic process in the video?,A liquid can evaporate when heated or exposed to airflow.,Cooling can cause liquid to solidify.,A solid can absorb heat and melt into a liquid.,A gas can condense into liquid droplets on a cold surface.,C,0.0-30.0: Collected from Category:Time-lapse videos of ice; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,13,selected_for_balanced_first_pass_review
dynaknow_000014,https://commons.wikimedia.org/wiki/File:Backwashing_demo_at_a_water_filtration_plant.webm,https://upload.wikimedia.org/wikipedia/commons/7/7a/Backwashing_demo_at_a_water_filtration_plant.webm,,45.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Which knowledge point is best demonstrated by the dynamic process in the video?,Settling separates materials by density over time.,Layering fluids can demonstrate density differences.,Some reactions form a precipitate.,Filtering separates solids from liquids by particle size.,D,0.0-45.0: Backwashing shows particles and water moving through filter media over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,14,selected_for_balanced_first_pass_review
dynaknow_000015,https://commons.wikimedia.org/wiki/File:Filtration_Video_at_Leadville_NFH_(4857132923).webm,https://upload.wikimedia.org/wikipedia/commons/b/b5/Filtration_Video_at_Leadville_NFH_(4857132923).webm,,39.0,procedural_operational_principles,Filtering separates solids from liquids by particle size.,Which knowledge point is best demonstrated by the dynamic process in the video?,Filtering separates solids from liquids by particle size.,Settling separates materials by density over time.,Layering fluids can demonstrate density differences.,Some reactions form a precipitate.,A,0.0-39.0: Water filtration is shown as a process rather than static equipment.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,15,selected_for_balanced_first_pass_review
dynaknow_000016,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,https://upload.wikimedia.org/wikipedia/commons/e/e7/Slow_motion_drop.webm,,38.0,physics_mechanics,Unsupported objects accelerate downward under gravity.,Which knowledge point is best demonstrated by the dynamic process in the video?,Objects sliding on rough surfaces slow down due to friction.,Unsupported objects accelerate downward under gravity.,A deformed elastic object returns to its original shape.,Magnetic fields can align ferromagnetic particles.,B,0.0-12.0: A water drop falls and impacts liquid over time rather than being statically suspended.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,16,selected_for_balanced_first_pass_review
dynaknow_000017,https://commons.wikimedia.org/wiki/File:Torsion-pendulum.ogv,https://upload.wikimedia.org/wikipedia/commons/6/66/Torsion-pendulum.ogv,,13.0,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,A pendulum exchanges gravitational potential energy and kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,C,0.0-13.0: Oscillatory motion requires seeing repeated position changes over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,17,selected_for_balanced_first_pass_review
dynaknow_000018,https://commons.wikimedia.org/wiki/File:Candle_and_Match.ogv,https://upload.wikimedia.org/wikipedia/commons/6/6c/Candle_and_Match.ogv,,25.0,chemistry_material_change,Combustion requires fuel and oxygen.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some mixtures produce gas during chemical reactions.,A liquid can evaporate when heated or exposed to airflow.,Warm air rises and can drive convection.,Combustion requires fuel and oxygen.,D,0.0-25.0: The match ignites the candle and the flame persists over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,18,selected_for_balanced_first_pass_review
dynaknow_000021,https://commons.wikimedia.org/wiki/File:103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,https://upload.wikimedia.org/wikipedia/commons/9/9d/103._%D0%93%D0%BE%D1%80%D0%B5%D1%9A%D0%B5_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.webm,,12.0,chemistry_material_change,Combustion requires fuel and oxygen.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some mixtures produce gas during chemical reactions.,A liquid can evaporate when heated or exposed to airflow.,Combustion requires fuel and oxygen.,Warm air rises and can drive convection.,C,0.0-12.0: Iron wool ignites and burns after being placed in oxygen over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,19,selected_for_balanced_first_pass_review
dynaknow_000022,https://commons.wikimedia.org/wiki/File:Oxalis_Triangularis_Photonasty_Timelapse.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fe/Oxalis_Triangularis_Photonasty_Timelapse.ogv,,5.7,biology_life_processes,Some organisms move toward or away from light.,Which knowledge point is best demonstrated by the dynamic process in the video?,Plant shoots can grow toward a light source.,Roots can grow downward in response to gravity.,Animal movement often uses repeated joint cycles.,Some organisms move toward or away from light.,D,0.0-5.7: Leaves open or close over a time lapse in response to light level change.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,20,selected_for_balanced_first_pass_review
dynaknow_000023,https://commons.wikimedia.org/wiki/File:Azuki_Bean_phototropism.ogv,https://upload.wikimedia.org/wikipedia/commons/a/a7/Azuki_Bean_phototropism.ogv,,34.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Plant shoots can grow toward a light source.,Roots can grow downward in response to gravity.,Leaves can lose water vapor through stomata.,Water can move through narrow plant structures by capillary action.,A,0.0-34.0: The shoot bends directionally over time rather than appearing only curved in one frame.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,21,selected_for_balanced_first_pass_review
dynaknow_000024,https://commons.wikimedia.org/wiki/File:MagneticPendulum_VariableFriction.ogv,https://upload.wikimedia.org/wikipedia/commons/a/af/MagneticPendulum_VariableFriction.ogv,,6.4,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A pendulum exchanges gravitational potential energy and kinetic energy.,A spinning object can maintain angular momentum.,Objects sliding on rough surfaces slow down due to friction.,B,0.0-6.4: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,22,selected_for_balanced_first_pass_review
dynaknow_000025,https://commons.wikimedia.org/wiki/File:Dynamikum_Gekoppelte_Pendel.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fa/Dynamikum_Gekoppelte_Pendel.ogv,,7.8,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,Which knowledge point is best demonstrated by the dynamic process in the video?,Unsupported objects accelerate downward under gravity.,A spinning object can maintain angular momentum.,A pendulum exchanges gravitational potential energy and kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,C,0.0-7.8: Collected from Category:Videos of pendulums; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,23,selected_for_balanced_first_pass_review
dynaknow_000028,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,https://upload.wikimedia.org/wikipedia/commons/8/82/Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s008.ogv,,25.9,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Magnetic fields can align or attract ferromagnetic materials.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,B,0.0-25.9: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,24,selected_for_balanced_first_pass_review
dynaknow_000029,https://commons.wikimedia.org/wiki/File:Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,https://upload.wikimedia.org/wikipedia/commons/b/b8/Nanoparticle-Induced-Cell-Magneto-Rotation-Monitoring-Morphology-Stress-and-Drug-Sensitivity-of-a-pone.0028475.s007.ogv,,13.3,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,Magnetic fields can align or attract ferromagnetic materials.,A spinning object can maintain angular momentum.,C,0.0-13.3: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,25,selected_for_balanced_first_pass_review
dynaknow_000030,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s4.ogv,https://upload.wikimedia.org/wikipedia/commons/7/7b/Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s4.ogv,,30.0,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,Magnetic fields can align or attract ferromagnetic materials.,D,0.0-30.0: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,26,selected_for_balanced_first_pass_review
dynaknow_000031,https://commons.wikimedia.org/wiki/File:Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/e/ef/Magnetotactic-molecular-architectures-from-self-assembly-of-%CE%B2-peptide-foldamers-ncomms9747-s3.ogv,,18.5,everyday_causal_mechanisms,Magnetic fields can align or attract ferromagnetic materials.,Which knowledge point is best demonstrated by the dynamic process in the video?,Magnetic fields can align or attract ferromagnetic materials.,Surface tension can support small objects or droplets.,Pressure differences can move fluids.,A spinning object can maintain angular momentum.,A,0.0-18.5: Collected from Category:Videos of magnetic fields; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,27,selected_for_balanced_first_pass_review
dynaknow_000034,https://commons.wikimedia.org/wiki/File:Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,https://upload.wikimedia.org/wikipedia/commons/0/00/Carnivorous_Plant_Time_Lapse_(Drosera_Capensis)_%22eating%22_a_Fruit_Fly.ogv,,16.6,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,Seed germination involves root and shoot emergence.,D,0.0-16.6: Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,28,selected_for_balanced_first_pass_review
dynaknow_000035,https://commons.wikimedia.org/wiki/File:Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,https://upload.wikimedia.org/wikipedia/commons/5/55/Apex_reorientation_in_Pinus_pinaster_during_the_first_24h_after_plant_inclination_-_1471-2229-10-217-S1.ogv,,24.0,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Seed germination involves root and shoot emergence.,Roots can grow downward in response to gravity.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,A,0.0-24.0: Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,29,selected_for_balanced_first_pass_review
dynaknow_000036,https://commons.wikimedia.org/wiki/File:365_days_tree.ogv,https://upload.wikimedia.org/wikipedia/commons/4/49/365_days_tree.ogv,,18.2,biology_life_processes,Seed germination involves root and shoot emergence.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Seed germination involves root and shoot emergence.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,B,0.0-18.2: Collected from Category:Time-lapse videos of plants; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,30,selected_for_balanced_first_pass_review
dynaknow_000037,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse.ogv,https://upload.wikimedia.org/wikipedia/commons/4/41/Sunflower_Flower_Opening_Time_Lapse.ogv,,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Leaves can lose water vapor through stomata.,Plant shoots can grow toward a light source.,Water can move through narrow plant structures by capillary action.,C,0.0-35.0: Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,31,selected_for_balanced_first_pass_review
dynaknow_000038,https://commons.wikimedia.org/wiki/File:Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,https://upload.wikimedia.org/wikipedia/commons/d/df/Sunflower_Flower_Opening_Time_Lapse_320x240.ogv,,35.0,biology_life_processes,Plant shoots can grow toward a light source.,Which knowledge point is best demonstrated by the dynamic process in the video?,Roots can grow downward in response to gravity.,Leaves can lose water vapor through stomata.,Water can move through narrow plant structures by capillary action.,Plant shoots can grow toward a light source.,D,0.0-35.0: Collected from Category:Videos of phototropism; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,32,selected_for_balanced_first_pass_review
dynaknow_000039,https://commons.wikimedia.org/wiki/File:Corona.Candle.webm,https://upload.wikimedia.org/wikipedia/commons/7/72/Corona.Candle.webm,,21.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,Vibration can transfer energy through a medium.,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-21.0: The flame motion responds to airflow from singing over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,33,selected_for_balanced_first_pass_review
dynaknow_000040,https://commons.wikimedia.org/wiki/File:Kerzenflamme_im_plattenkondensator.ogv,https://upload.wikimedia.org/wikipedia/commons/8/86/Kerzenflamme_im_plattenkondensator.ogv,,35.0,everyday_causal_mechanisms,Pressure differences can move fluids.,Which knowledge point is best demonstrated by the dynamic process in the video?,Capillary action can pull liquid through narrow gaps.,Pressure differences can move fluids.,Warm air rises and can drive convection.,Buoyancy depends on displaced fluid and object density.,B,0.0-35.0: The candle flame deforms dynamically when the electric field changes.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,34,selected_for_balanced_first_pass_review
dynaknow_000047,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,,,80.0,physics_mechanics,Collisions transfer momentum between objects.,Which knowledge point is best demonstrated by the dynamic process in the video?,Non-elastic collisions dissipate kinetic energy.,Objects sliding on rough surfaces slow down due to friction.,Collisions transfer momentum between objects.,A spinning object can maintain angular momentum.,C,0.0-20.0: Billiard balls repeatedly change velocity and direction after contacts over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,35,selected_for_balanced_first_pass_review
dynaknow_000048,https://commons.wikimedia.org/wiki/File:Video_of_RP_FLIP_transitioning_to_vertical_(120630-N-PO203-001).webm,,,78.0,physics_mechanics,Buoyancy depends on displaced fluid and object density.,Which knowledge point is best demonstrated by the dynamic process in the video?,Pressure differences can move fluids.,Surface tension can support small objects or droplets.,Capillary action can pull liquid through narrow gaps.,Buoyancy depends on displaced fluid and object density.,D,0.0-60.0: The platform orientation changes as ballast changes buoyancy and center of mass over time.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,36,selected_for_balanced_first_pass_review
dynaknow_000049,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s3.ogv,,,25.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,Vibration can transfer energy through a medium.,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,A,0.0-25.0: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,37,selected_for_balanced_first_pass_review
dynaknow_000050,https://commons.wikimedia.org/wiki/File:Hair-cell-force-generation-does-not-amplify-or-tune-vibrations-within-the-chicken-basilar-papilla-ncomms13133-s2.ogv,,,25.0,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Vibration can transfer energy through a medium.,Warm air rises and can drive convection.,Magnetic fields can align or attract ferromagnetic materials.,B,0.0-25.0: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,38,selected_for_balanced_first_pass_review
dynaknow_000051,https://commons.wikimedia.org/wiki/File:Global-Neuromagnetic-Cortical-Fields-Have-Non-Zero-Velocity-pone.0148413.s005.ogv,,,33.5,everyday_causal_mechanisms,Vibration can transfer energy through a medium.,Which knowledge point is best demonstrated by the dynamic process in the video?,A pendulum exchanges gravitational potential energy and kinetic energy.,Warm air rises and can drive convection.,Vibration can transfer energy through a medium.,Magnetic fields can align or attract ferromagnetic materials.,C,0.0-33.5: Collected from Category:Videos of vibrations and waves; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,39,selected_for_balanced_first_pass_review
dynaknow_000057,https://commons.wikimedia.org/wiki/File:Cat.ogv,,,13.3,chemistry_material_change,Some chemical reactions produce color change.,Which knowledge point is best demonstrated by the dynamic process in the video?,Some chemical reactions produce color change.,Dissolved substances diffuse from high to low concentration.,Some reactions form a precipitate.,Combustion requires fuel and oxygen.,A,0.0-13.3: Collected from Category:Videos of chemical reactions; requires review for visible temporal evidence.,A single frame may show the objects or final state but cannot establish the temporal process needed to identify this knowledge point.,,,,,,,,,,40,selected_for_balanced_first_pass_review
