video_id,domain,subdomain,concept_id,knowledge_point_en,knowledge_point_zh,concept_type,validity_tier,duration_sec,local_media,evidence_summary
vdcr_000066,chemistry_materials_change,materials_family_01,vdcr_concept_0064,Weissenberg Rod-Climbing Effect,魏森贝格爬杆效应,自然动态机制,core_main,24.0,media/vdcr_segments_pilot_v1/vdcr_commons_mr18_000003_seg_000000_024000_crop_clean.webm,"New cropped clean segment removes the bottom lab text and shows a viscoelastic fluid being dragged upward along a rotating rod, forming a rising annular column instead of a simple inward vortex. A single frame can show the rod and fluid level, but the named concept requires the temporal rod-climbing sequence; final release must audit MIT source rights."
vdcr_000070,chemistry_materials_change,materials_family_02,vdcr_concept_0068,Crystallization Front Propagation,结晶前沿推进,自然动态机制,strict_main_candidate,25.73,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000006.webm,"New Commons video shows a purple potassium-permanganate solution retreating or clearing while needle-like crystals remain and extend through the field, instantiating a crystallization front moving through the solution. A single frame can show crystals, but the named concept requires observing the front propagation and crystal-growth sequence over time."
vdcr_000073,chemistry_materials_change,materials_family_09,vdcr_concept_0104,Osmotic Gel Swelling Dynamics,渗透压驱动凝胶溶胀动态,自然动态机制,strict_main_candidate,18.133,media/vdcr_segments_pilot_v1/vdcr_commons_mr20_000008_seg_000000_018133_crop_clean.webm,New cropped clean derivative removes visible time/speed text and shows a dyed hydrogel strip progressively bending as swelling-driven osmotic actuation accumulates over hours. A single frame shows only a curved strip; the named concept requires observing the gradual swelling-driven deformation sequence over time.
vdcr_000077,chemistry_materials_change,materials_family_05,vdcr_concept_0082,Evaporation-Induced Deposition Front,蒸发诱导沉积前沿,自然动态机制,strict_main_candidate,33.967,media/vdcr_segments_pilot_v1/vdcr_commons_mr21_000003_metadata_clean.mp4,"New metadata-stripped derivative from a Commons/Nature Communications video shows a moving contact-line/deposition zone creating a row of polymer filaments as the front advances along the substrate. A single frame can show already-formed filaments, but the named concept requires observing the deposition front sweep forward and leave the patterned material behind over time."
vdcr_000082,chemistry_materials_change,materials_family_02,vdcr_concept_0065,Crystal Nucleation-and-Growth Dynamics,晶体成核-生长动态,自然动态机制,strict_main_candidate,14.0,media/vdcr_segments_pilot_v1/vdcr_commons_mr23_000001_seg_002000_016000_crop_clean.mp4,New cropped no-audio metadata-stripped derivative removes title/time overlays and shows a clear solution region where a small crystal first appears and grows into a larger faceted crystal. A single later frame only shows a crystal; the named concept requires observing the onset and growth sequence from solution.
vdcr_000085,chemistry_materials_change,materials_family_04,vdcr_concept_0077,Reaction-Precipitation Front Propagation,反应-沉淀前沿推进,自然动态机制,strict_main_candidate,66.4,media/vdcr_segments_pilot_v1/vdcr_commons_mr24_000002_crop_clean.mp4,"New cropped no-audio metadata-stripped derivative removes the microscope parameter text and shows bright precipitate/cloudy material forming after droplet contact and propagating through the droplet volume. A single frame can show a cloudy droplet, but the named concept requires observing the front-like formation and spread over time."
vdcr_000089,chemistry_materials_change,materials_family_04,vdcr_concept_0079,Reaction-Diffusion Wave,反应-扩散波,自然动态机制,strict_main_candidate,18.2,media/vdcr_segments_pilot_v1/vdcr_commons_mr27_000004_metadata_clean.mp4,"New no-audio metadata-stripped derivative shows reaction-diffusion bands and fronts propagating, splitting, and reorganizing across a simulated toroidal surface. It is a strict scientific-visualization sample: a single frame shows only colored labyrinthine patterning, while the named concept requires observing wave/front evolution through time."
vdcr_000094,chemistry_materials_change,materials_family_06,vdcr_concept_0246,Freeze-Induced Phase Separation,冻结诱导相分离,自然动态机制,strict_main_candidate,19.052,media/vdcr_segments_pilot_v1/vdcr_commons_mr31_000005_seg_002000_21143_clean.mp4,"Title-trimmed metadata-clean derivative shows branched/phase-separated morphology inside the droplet changing over time during the freezing/melting sequence. A single frame can show a patterned droplet, but the target concept depends on observing the temporal emergence and disappearance of freeze-induced separated structure."
vdcr_000097,chemistry_materials_change,materials_family_06,vdcr_concept_0085,Coalescence-Driven Coarsening,液滴聚并粗化,自然动态机制,strict_main_candidate,69.72,media/vdcr_segments_pilot_v1/vdcr_commons_mr33_000001_seg_007000_76732_clean.mp4,"Commons/Nature Communications foam-evolution video shows many small gas domains progressively disappearing while larger domains remain, grow, and reorganize. A single frame only shows a foam pattern; the named concept requires observing coarsening over time. The opening title card was removed and metadata/audio were stripped."
vdcr_000106,chemistry_materials_change,materials_family_03,vdcr_concept_0075,Benedict Positive Reducing-Sugar Reaction,本尼迪克特阳性还原反应,实验动态图样,strict_main_candidate,57.56,media/vdcr_segments_pilot_v1/vdcr_commons_mr40_000001_crop_metadata_clean.mp4,"Cropped metadata-clean Commons chemistry experiment shows reagent added to multiple test tubes, heating in a water bath, and progressive color/precipitate evolution from blue solution to red-brown positive tubes while other tubes remain blue. A single frame could show only final colors; the target concept requires observing reagent addition/heating and the temporal formation of the red precipitate pattern. The source page double-checks the Cu2+ to Cu+ reduction and Cu2O precipitate mechanism, but the pass decision relies on the visible reaction evolution in the video. Audio, source metadata, and the right-side title/label risk region were removed; remaining numeric sample labels do not disclose the answer concept."
vdcr_000110,chemistry_materials_change,materials_family_08,vdcr_concept_0096,Electrodeposition Dendrite Growth,电沉积枝晶生长,自然动态机制,strict_main_candidate,30.8,media/vdcr_segments_pilot_v1/vdcr_public_mr44_000003_electrodeposition_dendrite_01_clean.mp4,"Video-only clean derivative of a Scientific Reports experimental supplementary movie shows dark electrodeposits initiating at opposing electrode tips, thickening, and growing into branching/fractal dendritic morphology over time. A single frame could show only electrodes or an already formed dark deposit, but the accepted concept requires observing electrode-driven growth fronts and dendritic morphology formation across the temporal sequence. The source page double-checks the experimental dendrite growth context and CC BY 4.0 license; the pass decision relies on visible growth dynamics rather than source text. Nearby modeling videos and the high-frequency wire-like experimental clip were not merged."
vdcr_000115,chemistry_materials_change,materials_family_07,vdcr_concept_0094,Flame Blowoff,火焰吹熄,自然动态机制,strict_main_candidate,3.5,media/vdcr_segments_pilot_v1/vdcr_public_mr49_000001_flame_blowoff_clean.mp4,"Metadata-clean Commons GIF-to-MP4 derivative shows a blue premixed swirl-combustor flame changing from a broad stable flame to a narrowed, elongated, unstable downstream flame structure as the sequence progresses toward blowoff. A single frame can show only a blue flame shape, but the target concept requires observing the temporal loss of stable flame anchoring and shape degradation. The source page double-checks that the combustor is undergoing blow-off as fuel-air ratio is decreased; the pass decision relies on visible flame-shape evolution rather than in-frame text. The accepted derivative has no audio, no in-frame answer text, and no source metadata beyond neutral container encoding."
vdcr_000008,earth_environmental_systems,earth_family_05,vdcr_concept_0219,Slab Avalanche Release,板状雪崩释放,自然动态机制,core_main,90.017,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000054_seg_300000_390000.ogv,Trimmed segment removes title and credits; footage shows snow slab/avalanche release and downslope propagation without answer text.
vdcr_000010,earth_environmental_systems,earth_family_04,vdcr_concept_0211,Pahoehoe Lava Roping,绳状熔岩形成,自然动态机制,core_main,35.06,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000008_seg_1825000_1860000.mp4,Trimmed segment removes maps/captions and shows ropy pahoehoe lava surface/flow dynamics without answer text.
vdcr_000011,earth_environmental_systems,earth_family_05,vdcr_concept_0218,Ice Cliff Calving,冰崖崩解,自然动态机制,strict_main_candidate,13.0,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,Trimmed segment removes the later title card and shows ice cliff detachment/collapse into water without answer text.
vdcr_000016,earth_environmental_systems,earth_family_04,vdcr_concept_0212,Aa Lava Front Advance,阿阿熔岩前缘推进,自然动态机制,strict_main_candidate,24.992,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,Trimmed segment from a public-domain volcano film shows blocky aa lava front advancing and overturning without title cards or answer text.
vdcr_000017,earth_environmental_systems,earth_family_06,vdcr_concept_0222,Fire-Whirl Vortex Formation,火旋风涡旋形成,自然动态机制,strict_main_candidate,16.016,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,Cropped segment removes news captions and credits; fire column rotates into a visible whirl with no answer text in-frame.
vdcr_000021,earth_environmental_systems,earth_family_08,vdcr_concept_0235,Tidal Bore,潮汐涌浪,自然动态机制,core_main,80.0,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000004_seg_020000_100000.mp4,New Commons segment shows a coherent bore front propagating across the estuary; timestamp overlay remains but does not reveal the answer.
vdcr_000026,earth_environmental_systems,earth_family_01,vdcr_concept_0191,Supercell Mesocyclone Rotation,超级单体中气旋旋转,自然动态机制,core_main,10.034,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000004.webm,New Commons/NOAA satellite loop shows coherent rotation in the supercell updraft over time; state boundary overlays remain but do not reveal the answer.
vdcr_000031,earth_environmental_systems,earth_family_01,vdcr_concept_0194,Gust Front Propagation,阵风锋推进,自然动态机制,strict_main_candidate,5.138,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000007.webm,New Commons/NOAA satellite loop shows a coherent gust-front/outflow boundary expanding away from Gulf thunderstorms; NOAA/CIRA logos remain but do not reveal the answer.
