video_id,domain,subdomain,concept_type,gold_answer,accepted_answers,question,mcq_correct_choice,mcq_correct_choice_text,choice_A,choice_B,choice_C,choice_D,qwen35_2b_direct_output,qwen35_2b_direct_exact_correct,qwen35_2b_direct_judge_equivalent,qwen35_2b_direct_judge_label,qwen35_2b_mcq_output_choice,qwen35_2b_mcq_output_text,qwen35_2b_mcq_correct,qwen35_2b_mcq_parse_status,qwen35_4b_direct_output,qwen35_4b_direct_exact_correct,qwen35_4b_direct_judge_equivalent,qwen35_4b_direct_judge_label,qwen35_4b_mcq_output_choice,qwen35_4b_mcq_output_text,qwen35_4b_mcq_correct,qwen35_4b_mcq_parse_status,qwen35_9b_direct_output,qwen35_9b_direct_exact_correct,qwen35_9b_direct_judge_equivalent,qwen35_9b_direct_judge_label,qwen35_9b_mcq_output_choice,qwen35_9b_mcq_output_text,qwen35_9b_mcq_correct,qwen35_9b_mcq_parse_status,qwen3vl_2b_direct_output,qwen3vl_2b_direct_exact_correct,qwen3vl_2b_direct_judge_equivalent,qwen3vl_2b_direct_judge_label,qwen3vl_2b_mcq_output_choice,qwen3vl_2b_mcq_output_text,qwen3vl_2b_mcq_correct,qwen3vl_2b_mcq_parse_status,qwen3vl_4b_direct_output,qwen3vl_4b_direct_exact_correct,qwen3vl_4b_direct_judge_equivalent,qwen3vl_4b_direct_judge_label,qwen3vl_4b_mcq_output_choice,qwen3vl_4b_mcq_output_text,qwen3vl_4b_mcq_correct,qwen3vl_4b_mcq_parse_status,qwen3vl_8b_direct_output,qwen3vl_8b_direct_exact_correct,qwen3vl_8b_direct_judge_equivalent,qwen3vl_8b_direct_judge_label,qwen3vl_8b_mcq_output_choice,qwen3vl_8b_mcq_output_text,qwen3vl_8b_mcq_correct,qwen3vl_8b_mcq_parse_status
vdcr_000011,earth_environmental_systems,earth_family_05,自然动态机制,Ice Cliff Calving,Ice Cliff Calving; 冰崖崩解,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Ice Cliff Calving,Pahoehoe Lava Roping,Ice Cliff Calving,Slab Avalanche Release,Aa Lava Front Advance,冰川崩解,False,False,too_generic,B,Ice Cliff Calving,True,ok,avalanche,False,False,too_generic,B,Ice Cliff Calving,True,ok,iceberg calving,False,False,too_generic,B,Ice Cliff Calving,True,ok,Glacier Collapse,False,False,too_generic,B,Ice Cliff Calving,True,ok,calving,False,True,equivalent,B,Ice Cliff Calving,True,ok,冰川崩塌,False,False,too_generic,B,Ice Cliff Calving,True,ok
vdcr_000012,chemistry_materials_change,materials_family_03,实验动态图样,Iodine Clock Reaction,Iodine Clock Reaction; 碘钟反应,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Iodine Clock Reaction,Blue Bottle Reaction,Iodine Clock Reaction,Belousov-Zhabotinsky Reaction,Briggs-Rauscher Reaction,沉淀,False,False,wrong,B,Iodine Clock Reaction,True,ok,dissolution,False,False,too_generic,C,Belousov-Zhabotinsky Reaction,False,ok,Color change,False,False,too_generic,B,Iodine Clock Reaction,True,ok,Chemical reaction,False,False,too_generic,C,Belousov-Zhabotinsky Reaction,False,ok,color change,False,False,too_generic,A,Blue Bottle Reaction,False,ok,化学反应,False,False,too_generic,A,Blue Bottle Reaction,False,ok
vdcr_000013,biology_living_systems,biology_family_05,自然动态机制,Cytoplasmic Streaming,Cytoplasmic Streaming; 细胞质流动,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Cytoplasmic Streaming,Axonal Transport,Coordinated Ciliary Beating Dynamics,Calcium Wave Propagation,Cytoplasmic Streaming,生物,False,False,too_generic,B,Coordinated Ciliary Beating Dynamics,False,ok,cell division,False,False,related_but_wrong,B,Coordinated Ciliary Beating Dynamics,False,ok,细胞吞噬,False,False,wrong,D,Cytoplasmic Streaming,True,ok,Cellular movement,False,False,too_generic,D,Cytoplasmic Streaming,True,ok,Ciliary beat,False,False,wrong,B,Coordinated Ciliary Beating Dynamics,False,ok,细胞分裂,False,False,wrong,D,Cytoplasmic Streaming,True,ok
vdcr_000014,biology_living_systems,biology_family_04,自然动态机制,Thigmonasty,Thigmonasty; 感触性运动,Which named dynamic concept is instantiated by the temporally evolving process in this video?,C,Thigmonasty,Nyctinasty,Phototropism,Thigmonasty,Bistable Snap-Trap Closure,植物,False,False,too_generic,C,Thigmonasty,True,ok,touch,False,False,too_generic,C,Thigmonasty,True,ok,感震草,False,False,unclear,C,Thigmonasty,True,ok,Plant movement,False,False,too_generic,C,Thigmonasty,True,ok,tactile interaction,False,False,too_generic,C,Thigmonasty,True,ok,触碰植物,False,False,too_generic,C,Thigmonasty,True,ok
vdcr_000015,chemistry_materials_change,materials_family_01,自然动态机制,Shear Thickening,Shear Thickening; 剪切增稠,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Shear Thickening,Thin-Film Dewetting,Diffusion Flame,Weissenberg Rod-Climbing Effect,Shear Thickening,黏性,False,False,too_generic,D,Shear Thickening,True,ok,slime,False,False,too_generic,D,Shear Thickening,True,ok,making slime,False,False,too_generic,D,Shear Thickening,True,ok,Casting,False,False,wrong,D,Shear Thickening,True,ok,viscosity,False,False,too_generic,D,Shear Thickening,True,ok,搅拌,False,False,too_generic,D,Shear Thickening,True,ok
vdcr_000016,earth_environmental_systems,earth_family_04,自然动态机制,Aa Lava Front Advance,Aa Lava Front Advance; 阿阿熔岩前缘推进,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Aa Lava Front Advance,Slab Avalanche Release,Aa Lava Front Advance,Pyroclastic Density Current,Pahoehoe Lava Roping,燃烧,False,False,wrong,B,Aa Lava Front Advance,True,ok,burning,False,False,too_generic,B,Aa Lava Front Advance,True,ok,Lava flow,False,False,too_generic,B,Aa Lava Front Advance,True,ok,Fire,False,False,too_generic,C,Pyroclastic Density Current,False,ok,Fire propagation,False,False,too_generic,C,Pyroclastic Density Current,False,ok,火山喷发,False,False,too_generic,B,Aa Lava Front Advance,True,ok
vdcr_000017,earth_environmental_systems,earth_family_06,自然动态机制,Fire-Whirl Vortex Formation,Fire-Whirl Vortex Formation; 火旋风涡旋形成; Fire Whirl; 火旋风,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Fire-Whirl Vortex Formation,Wind-Driven Fire-Front Propagation,Pyrocumulus Development,Buoyancy-Driven Smoke Plume Rise,Fire-Whirl Vortex Formation,fire,False,False,too_generic,D,Fire-Whirl Vortex Formation,True,ok,fire,False,False,too_generic,D,Fire-Whirl Vortex Formation,True,ok,wildfire,False,False,too_generic,D,Fire-Whirl Vortex Formation,True,ok,Firestorm,False,False,too_generic,A,Wind-Driven Fire-Front Propagation,False,ok,Fire tornado,False,True,equivalent,D,Fire-Whirl Vortex Formation,True,ok,火势蔓延,False,False,too_generic,C,Buoyancy-Driven Smoke Plume Rise,False,ok
vdcr_000018,chemistry_materials_change,materials_family_04,实验动态图样,Chemical Garden Growth,Chemical Garden Growth; 化学花园生长,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Chemical Garden Growth,Reaction-Diffusion Wave,Liesegang Ring Formation,Reaction-Precipitation Front Propagation,Chemical Garden Growth,fluid,False,False,too_generic,C,Reaction-Precipitation Front Propagation,False,ok,diffusion,False,False,too_generic,C,Reaction-Precipitation Front Propagation,False,ok,diffusion,False,False,too_generic,D,Chemical Garden Growth,True,ok,Fluid dynamics,False,False,too_generic,D,Chemical Garden Growth,True,ok,diffusion,False,False,too_generic,D,Chemical Garden Growth,True,ok,扩散,False,False,too_generic,D,Chemical Garden Growth,True,ok
vdcr_000019,chemistry_materials_change,materials_family_03,实验动态图样,Blue Bottle Reaction,Blue Bottle Reaction; 蓝瓶反应,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Blue Bottle Reaction,Belousov-Zhabotinsky Reaction,Iodine Clock Reaction,Briggs-Rauscher Reaction,Blue Bottle Reaction,entropy,False,False,wrong,D,Blue Bottle Reaction,True,ok,mixing,False,False,too_generic,D,Blue Bottle Reaction,True,ok,dissolving,False,False,wrong,,,False,invalid,Chemical reaction,False,False,too_generic,D,Blue Bottle Reaction,True,ok,diffusion,False,False,wrong,D,Blue Bottle Reaction,True,ok,密度,False,False,wrong,D,Blue Bottle Reaction,True,ok
vdcr_000020,biology_living_systems,biology_family_04,自然动态机制,Phototropism,Phototropism; 向光性,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Phototropism,Thigmonasty,Bistable Snap-Trap Closure,Nyctinasty,Phototropism,seedling,False,False,too_generic,A,Thigmonasty,False,ok,growing,False,False,too_generic,D,Phototropism,True,ok,grow,False,False,too_generic,C,Nyctinasty,False,ok,Plant growth,False,False,too_generic,D,Phototropism,True,ok,Growth,False,False,too_generic,D,Phototropism,True,ok,生长,False,False,too_generic,D,Phototropism,True,ok
vdcr_000021,earth_environmental_systems,earth_family_08,自然动态机制,Tidal Bore,Tidal Bore; 潮汐涌浪,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Tidal Bore,Plunging Breaker,Tidal Bore,Rip Current Formation,Slab Avalanche Release,time,False,False,wrong,B,Tidal Bore,True,ok,tidal bore,True,True,equivalent,B,Tidal Bore,True,ok,tide,False,False,too_generic,B,Tidal Bore,True,ok,Flight,False,False,wrong,B,Tidal Bore,True,ok,tide,False,False,too_generic,B,Tidal Bore,True,ok,潮汐,False,False,too_generic,B,Tidal Bore,True,ok
vdcr_000022,physics_physical_systems,physics_family_01,自然动态机制,Hydraulic Jump,Hydraulic Jump; 水跃,Which named dynamic concept is instantiated by the temporally evolving process in this video?,C,Hydraulic Jump,Vortex Shedding / Karman Vortex Street,Kelvin-Helmholtz Instability,Hydraulic Jump,Cavitation Bubble Growth and Collapse,fluid,False,False,too_generic,A,Vortex Shedding / Karman Vortex Street,False,ok,Bernoulli's principle,False,False,wrong,D,Cavitation Bubble Growth and Collapse,False,ok,fluid dynamics,False,False,too_generic,C,Hydraulic Jump,True,ok,Bernoulli's principle,False,False,wrong,A,Vortex Shedding / Karman Vortex Street,False,ok,Bernoulli's principle,False,False,wrong,C,Hydraulic Jump,True,ok,毛细现象,False,False,wrong,C,Hydraulic Jump,True,ok
vdcr_000023,physics_physical_systems,physics_family_01,自然动态机制,Vortex Shedding / Karman Vortex Street,Vortex Shedding / Karman Vortex Street; 周期涡脱落/卡门涡街; Vortex Shedding; Karman Vortex Street,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Vortex Shedding / Karman Vortex Street,Kelvin-Helmholtz Instability,Vortex Shedding / Karman Vortex Street,Hydraulic Jump,Cavitation Bubble Growth and Collapse,荧光,False,False,wrong,B,Vortex Shedding / Karman Vortex Street,True,ok,fire,False,False,wrong,B,Vortex Shedding / Karman Vortex Street,True,ok,fluid dynamics,False,False,too_generic,B,Vortex Shedding / Karman Vortex Street,True,ok,Laser,False,False,wrong,B,Vortex Shedding / Karman Vortex Street,True,ok,Waveform,False,False,too_generic,D,Cavitation Bubble Growth and Collapse,False,ok,光晕,False,False,wrong,A,Kelvin-Helmholtz Instability,False,ok
vdcr_000024,physics_physical_systems,physics_family_02,自然动态机制,Leidenfrost Droplet Motion,Leidenfrost Droplet Motion; 莱顿弗罗斯特液滴运动,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Leidenfrost Droplet Motion,Liquid Bridge Pinch-Off,Leidenfrost Droplet Motion,Rayleigh-Plateau Breakup,Capillary-Driven Jet/Thread Breakup,oil,False,False,wrong,D,Capillary-Driven Jet/Thread Breakup,False,ok,boiling,False,False,too_generic,B,Leidenfrost Droplet Motion,True,ok,water drop,False,False,too_generic,B,Leidenfrost Droplet Motion,True,ok,Cooking,False,False,too_generic,B,Leidenfrost Droplet Motion,True,ok,Heat transfer,False,False,too_generic,B,Leidenfrost Droplet Motion,True,ok,油滴在锅中移动,False,False,too_generic,B,Leidenfrost Droplet Motion,True,ok
vdcr_000025,physics_physical_systems,physics_family_02,自然动态机制,Capillary-Driven Jet/Thread Breakup,Capillary-Driven Jet/Thread Breakup; Capillary Breakup; 毛细断裂,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Capillary-Driven Jet/Thread Breakup,Liquid Bridge Pinch-Off,Leidenfrost Droplet Motion,Rayleigh-Plateau Breakup,Capillary-Driven Jet/Thread Breakup,time,False,False,wrong,D,Capillary-Driven Jet/Thread Breakup,True,ok,Hourglass,False,False,wrong,D,Capillary-Driven Jet/Thread Breakup,True,ok,沙漏,False,False,wrong,D,Capillary-Driven Jet/Thread Breakup,True,ok,Time,False,False,wrong,D,Capillary-Driven Jet/Thread Breakup,True,ok,flow,False,False,too_generic,D,Capillary-Driven Jet/Thread Breakup,True,ok,熵增,False,False,wrong,D,Capillary-Driven Jet/Thread Breakup,True,ok
vdcr_000026,earth_environmental_systems,earth_family_01,自然动态机制,Supercell Mesocyclone Rotation,Supercell Mesocyclone Rotation; 超级单体中气旋旋转,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Supercell Mesocyclone Rotation,Downburst / Microburst Outflow,Tornadogenesis,Gust Front Propagation,Supercell Mesocyclone Rotation,风暴,False,False,too_generic,A,Downburst / Microburst Outflow,False,ok,cyclone,False,False,too_generic,C,Gust Front Propagation,False,ok,Cloud,False,False,too_generic,C,Gust Front Propagation,False,ok,Weather,False,False,too_generic,A,Downburst / Microburst Outflow,False,ok,cloud motion,False,False,too_generic,C,Gust Front Propagation,False,ok,云层移动,False,False,too_generic,C,Gust Front Propagation,False,ok
vdcr_000027,chemistry_materials_change,materials_family_02,实验动态图样,Supercooled Liquid Rapid Crystallization,Supercooled Liquid Rapid Crystallization; 过冷液体瞬时结晶,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Supercooled Liquid Rapid Crystallization,Dendritic Crystal Growth,Supercooled Liquid Rapid Crystallization,Crystal Nucleation-and-Growth Dynamics,Crystallization Front Propagation,Chemical Reaction,False,False,too_generic,C,Crystal Nucleation-and-Growth Dynamics,False,ok,emulsification,False,False,wrong,C,Crystal Nucleation-and-Growth Dynamics,False,ok,precipitation,False,False,too_generic,,,False,invalid,Chemical reaction,False,False,too_generic,C,Crystal Nucleation-and-Growth Dynamics,False,ok,Chemical reaction,False,False,too_generic,B,Supercooled Liquid Rapid Crystallization,True,ok,化学反应,False,False,too_generic,C,Crystal Nucleation-and-Growth Dynamics,False,ok
vdcr_000028,chemistry_materials_change,materials_family_04,实验动态图样,Liesegang Ring Formation,Liesegang Ring Formation; 利塞冈环形成,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Liesegang Ring Formation,Reaction-Diffusion Wave,Chemical Garden Growth,Reaction-Precipitation Front Propagation,Liesegang Ring Formation,surface tension,False,False,too_generic,D,Liesegang Ring Formation,True,ok,fluid dynamics,False,False,too_generic,D,Liesegang Ring Formation,True,ok,sedimentation,False,False,too_generic,D,Liesegang Ring Formation,True,ok,Fluid dynamics,False,False,too_generic,D,Liesegang Ring Formation,True,ok,diffusion,False,False,too_generic,D,Liesegang Ring Formation,True,ok,毛细现象,False,False,too_generic,D,Liesegang Ring Formation,True,ok
vdcr_000029,chemistry_materials_change,materials_family_06,自然动态机制,Thin-Film Dewetting,Thin-Film Dewetting; 液膜退润湿,Which named dynamic concept is instantiated by the temporally evolving process in this video?,C,Thin-Film Dewetting,Ostwald Ripening,Freeze-Induced Phase Separation,Thin-Film Dewetting,Spinodal Decomposition,细胞,False,False,wrong,A,Ostwald Ripening,False,ok,cell division,False,False,wrong,D,Spinodal Decomposition,False,ok,Cell division,False,False,wrong,A,Ostwald Ripening,False,ok,Cell division,False,False,wrong,A,Ostwald Ripening,False,ok,cell division,False,False,wrong,A,Ostwald Ripening,False,ok,细胞分裂,False,False,wrong,A,Ostwald Ripening,False,ok
vdcr_000030,biology_living_systems,biology_family_04,自然动态机制,Bistable Snap-Trap Closure,Bistable Snap-Trap Closure; 双稳态捕虫夹闭合,Which named dynamic concept is instantiated by the temporally evolving process in this video?,D,Bistable Snap-Trap Closure,Nyctinasty,Phototropism,Thigmonasty,Bistable Snap-Trap Closure,捕食,False,False,too_generic,D,Bistable Snap-Trap Closure,True,ok,predation,False,False,too_generic,D,Bistable Snap-Trap Closure,True,ok,捕蝇草,False,False,too_generic,D,Bistable Snap-Trap Closure,True,ok,Venus Flytrap,False,False,too_generic,D,Bistable Snap-Trap Closure,True,ok,Predator-prey,False,False,too_generic,D,Bistable Snap-Trap Closure,True,ok,捕食行为,False,False,too_generic,C,Thigmonasty,False,ok
vdcr_000031,earth_environmental_systems,earth_family_01,自然动态机制,Gust Front Propagation,Gust Front Propagation; 阵风锋推进,Which named dynamic concept is instantiated by the temporally evolving process in this video?,C,Gust Front Propagation,Tornadogenesis,Supercell Mesocyclone Rotation,Gust Front Propagation,Downburst / Microburst Outflow,台风,False,False,wrong,D,Downburst / Microburst Outflow,False,ok,hurricane,False,False,wrong,D,Downburst / Microburst Outflow,False,ok,hurricane,False,False,wrong,D,Downburst / Microburst Outflow,False,ok,Fire,False,False,wrong,C,Gust Front Propagation,True,ok,Fire Spread,False,False,wrong,C,Gust Front Propagation,True,ok,台风,False,False,wrong,C,Gust Front Propagation,True,ok
vdcr_000032,biology_living_systems,biology_family_07,自然动态机制,Microtubule Dynamic Instability,Microtubule Dynamic Instability; 微管动态不稳定性,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Microtubule Dynamic Instability,Actin Wave,Microtubule Dynamic Instability,Endocytosis,Membrane Blebbing,protein folding,False,False,wrong,B,Microtubule Dynamic Instability,True,ok,protein folding,False,False,wrong,B,Microtubule Dynamic Instability,True,ok,self-assembly,False,False,too_generic,B,Microtubule Dynamic Instability,True,ok,Dynamic structure,False,False,too_generic,B,Microtubule Dynamic Instability,True,ok,self-assembly,False,False,too_generic,B,Microtubule Dynamic Instability,True,ok,坍塌,False,False,too_generic,B,Microtubule Dynamic Instability,True,ok
vdcr_000033,biology_living_systems,biology_family_05,自然动态机制,Calcium Wave Propagation,Calcium Wave Propagation; 钙波传播,Which named dynamic concept is instantiated by the temporally evolving process in this video?,B,Calcium Wave Propagation,Cytoplasmic Streaming,Calcium Wave Propagation,Coordinated Ciliary Beating Dynamics,Axonal Transport,动态,False,False,too_generic,A,Cytoplasmic Streaming,False,ok,flicker,False,False,wrong,C,Coordinated Ciliary Beating Dynamics,False,ok,Cell Division,False,False,wrong,C,Coordinated Ciliary Beating Dynamics,False,ok,Crosshair,False,False,wrong,C,Coordinated Ciliary Beating Dynamics,False,ok,Fluctuation,False,False,too_generic,B,Calcium Wave Propagation,True,ok,闪烁,False,False,too_generic,B,Calcium Wave Propagation,True,ok
